,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
30,Hartman,Victor E.,AC 0585B,,,Special Topics Seminar: Forensic Accounting,01,32744.0,Spring,2017.0,24.0,20.0,-4.0,"['W 0400pm-0600pm 03/29-03/29 DSB 112', 'T 0600pm-1000pm 04/04-04/04 DSB 110B', 'W 0930am-0530pm 04/05-04/05 DSB 110B', 'R 0200pm-0800pm 04/06-04/06 DSB 105', 'W 0400pm-0600pm 04/12-04/12 DSB 112', 'W 0930am-0530pm 04/19-04/19 DSB 110B', 'W 0400pm-0600pm 04/26-04/26 DSB 112', 'T 0600pm-1000pm 05/02-05/02 DSB 110B', 'W 0930am-0530pm 05/03-05/03 DSB 110B', 'R 0200pm-0800pm 05/04-05/04 DSB 105', 'W 0930am-0530pm 05/10-05/10 DSB 110B']"
31,Zera,David A.,SL 0540A,,,Special Topics in English Acquisition Pedagogy: Research Practicum,01,72956.0,Fall,2017.0,4.0,6.0,2.0,['M 0715pm-0915pm 09/05-12/18 CNS 2']
32,Creane,Michael Walden,PY 0281C,,,Special Topics: Adult Development and Aging,01,32733.0,Spring,2017.0,20.0,20.0,0.0,['TR 0500pm-0615pm 01/17-05/02 BNW 333']
33, Striuli,Janet,MA 0495B,,,Special Topics: Graph Theory,01,57382.0,Summer,2017.0,8.0,15.0,7.0,['MW 0600pm-0900pm 05/24-07/05 BNW 253']
34,Edelman,Deborah L.,SE 0568A,,,Special Topics: Instructional Strategies in the Inclusive Classroom,01,11720.0,Winter,2017.0,16.0,16.0,0.0,"['MTWR 0430pm-0730pm 01/03-01/12 CNS 15', 'MTWR 0430pm-0730pm 01/03-01/12 CNS 202', 'S 0900am-0300pm 01/07-01/07 CNS 202', 'S 0900am-0300pm 01/07-01/07 CNS 15']"
35,Wilson,Joseph A.,AY 0390A,,,Special Topics: Introduction to Archaeology,01,32670.0,Spring,2017.0,12.0,24.0,12.0,['R 0500pm-0730pm 01/17-05/02 CNS 106']
36,Wilson,Joseph A.,AY 0390B,,,Special Topics: North American Indians,01,72710.0,Fall,2017.0,4.0,28.0,24.0,['R 0630pm-0900pm 09/05-12/11 CNS 206']
37,Svoboda,Toby J.,PH 0299D,,,Special Topics: Philosophy as a Way of Life,01,72858.0,Fall,2017.0,17.0,20.0,3.0,['F 0200pm-0430pm 09/05-12/11 DMH 148']
38,Downie,David L.,PO 0190G,,,Special Topics: Seminar on Global Environmental Politics,01,32866.0,Spring,2017.0,6.0,15.0,9.0,['W 0200pm-0430pm 01/17-05/02 CNS 306']
39,Alberda,Gayle A.,PO 0190F,,,Special Topics: State and Local Politics,01,32865.0,Spring,2017.0,9.0,25.0,16.0,['MR 0330pm-0445pm 01/17-05/02 CNS 103']
40, Valenzisi,Ralph,MD 0401A,,,Special Topics: Survey of Educational Technology Leadership,01,57413.0,Summer,2017.0,5.0,20.0,15.0,['MW 0430pm-0830pm 07/10-08/04 CNS 10']
41, Long,R James,PH 0299C,,,Special Topics: Thomistic Metaphysics,01,32737.0,Spring,2017.0,6.0,15.0,9.0,['W 1100am-0130pm 01/17-05/02 DMH 231']
