,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
138, Dlugos,Daniel,PS 0015,,,General Physics I,D,75151.0,Fall,2015.0,24.0,26.0,2.0,['TR 0500pm-0615pm 09/01-12/07 BNW 341']
139,Das,Bidyut B.,PS 0015,,,General Physics I,A,55033.0,Summer,2015.0,13.0,25.0,12.0,"['MTWRF 0830am-1030am 06/01-06/22 BNW 127', 'TWRF 0830am-1030am 06/23-06/26 BNW 469']"
140, Biselli,Angela,PS 0015,,,General Physics I (Engr/Phys),A,75039.0,Fall,2015.0,25.0,26.0,1.0,"['TF 1100am-1215pm 09/01-12/07 BNW GR22', 'W 1100am-1150am 09/01-12/07 BNW GR22']"
141,Cavallo,James P.,PS 0015L,,,General Physics I Lab,F,75612.0,Fall,2015.0,24.0,24.0,0.0,['R 0200pm-0430pm 09/01-12/07 BNW 162']
142,Das,Bidyut B.,PS 0015L,,,General Physics I Lab,A,55034.0,Summer,2015.0,12.0,25.0,13.0,['MTWRF 1040am-0145pm 06/01-06/26 BNW 162']
143, Dlugos,Daniel,PS 0016,,,General Physics II,F,31952.0,Spring,2015.0,23.0,20.0,-3.0,['TR 0500pm-0615pm 01/20-04/30 BNW 340']
144,Das,Bidyut B.,PS 0016,,,General Physics II,A,55035.0,Summer,2015.0,16.0,25.0,9.0,['MTWRF 0830am-1030am 07/06-07/31 BNW 341']
145,Stott,Jonathan J.,PS 0016,,,General Physics II (EG/CH/PS),C,31881.0,Spring,2015.0,21.0,22.0,1.0,"['MR 0930am-1040am 01/20-04/30 BNW 138', 'W 0900am-0950am 01/20-04/30 BNW 138']"
146, Xu,Min,PS 0016,,,General Physics II (PS/CH/EG),A,31879.0,Spring,2015.0,24.0,22.0,-2.0,"['TF 1100am-1210pm 01/20-04/30 BNW 340', 'W 1000am-1050am 01/20-04/30 BNW 340']"
147,Cavallo,James P.,PS 0016L,,,General Physics II Lab,B,32424.0,Spring,2015.0,19.0,17.0,-2.0,['R 0616pm-0845pm 01/20-04/30 BNW 162']
148,Das,Bidyut B.,PS 0016L,,,General Physics II Lab,A,55036.0,Summer,2015.0,16.0,25.0,9.0,['MTWRF 1040am-0145pm 07/06-07/31 BNW 162']
149,Welles,Barbara Lynn,ED 0523,,,Global and Sociocultural Perspectives on Learning and Development,01,33842.0,Spring,2015.0,2.0,18.0,16.0,['M 0455pm-0655pm 01/26-05/04 CNS 206']
150,LaBella,Maryann Hayes,FT 0562,,,Human Sexuality and Sexual Dysfunction,01,76011.0,Fall,2015.0,21.0,20.0,-1.0,['M 0715pm-0915pm 09/14-12/14 CNS 306']
151,Weiss,Joan Wyzkoski,MA 0019,,,Introduction to Calculus,C,76269.0,Fall,2015.0,18.0,33.0,15.0,"['TF 0930am-1020am 09/01-12/07 BNW 256', 'W 0900am-0950am 09/01-12/07 BNW 256']"
152,Weiss,Joan Wyzkoski,MA 0019,,,Introduction to Calculus,C,31855.0,Spring,2015.0,22.0,35.0,13.0,['TWF 1100am-1150am 01/20-04/30 BNW 253']
153,Ryan,Daniel J.,MA 0019,,,Introduction to Calculus,A,55023.0,Summer,2015.0,8.0,25.0,17.0,['MTWRF 1030am-1230pm 06/01-06/26 BNW GR22']
154,Cooney,Michael Andrew,MU 0113,,,Introduction to Piano and the Elements of Music,A,75561.0,Fall,2015.0,12.0,12.0,0.0,['MR 1230pm-0145pm 09/01-12/07 JGS LAB-A']
155,Cooney,Michael Andrew,MU 0113,,,Introduction to Piano and the Elements of Music,A,32788.0,Spring,2015.0,12.0,12.0,0.0,['MR 1230pm-0145pm 01/20-04/30 JGS LAB-A']
156,Yarrington,Kathryn J.,SA 0300,,,Junior Seminar,A,31923.0,Spring,2015.0,2.0,8.0,6.0,['M 0930am-1230pm 01/20-04/30 LYL 20']
157, Corcoran,Joseph,SW 0327,,,Operating Sys & Programming,A,32861.0,Spring,2015.0,7.0,10.0,3.0,['R 0630pm-0900pm 01/20-04/30 BNW 166']
158, Fine,Benjamin,MA 0321,,,Ordinary Differential Equation,B,33084.0,Spring,2015.0,27.0,25.0,-2.0,['MR 0800am-0915am 01/20-04/30 BNW 139']
159, Boller,Barbara,SE 0441,,,Parents and Families of Individuals with Disabilities,01,32209.0,Spring,2015.0,6.0,20.0,14.0,['T 0715pm-0915pm 01/20-05/05 CNS 208']
160,Yarrington,Kathryn J.,SA 0131,,,"Printmaking: Monoprints, Etching, and Photographic Techniques",A,75560.0,Fall,2015.0,12.0,18.0,6.0,['W 1100am-0130pm 09/01-12/07 LYL 20']
161,Harriott,Olivia T.,BI 0381C,,,Seminar: Bacterial Pathogenesis,A,33037.0,Spring,2015.0,11.0,12.0,1.0,['TF 1230pm-0145pm 01/20-04/30 BNW 469']
162,Tucker,Michael T.,FI 0585C,,,Seminar: Contemporary Topics in Finance: Trading,01,76442.0,Fall,2015.0,1.0,13.0,12.0,['M 0500pm-0900pm 09/01-12/07 DSB 114']
163,Rusu,Amalia I.,SW 0202,,,Software Design Methods,A,75306.0,Fall,2015.0,5.0,6.0,1.0,['M 0630pm-0900pm 09/14-12/07 BNW 333']
164,Rusu,Amalia I.,SW 0202,,,Software Design Methods,A,32013.0,Spring,2015.0,4.0,4.0,0.0,['T 0200pm-0430pm 01/20-04/30 BNW 254A']
165,Rusu,Amalia I.,SW 0201,,,Software Engineering Methods,A,75206.0,Fall,2015.0,2.0,5.0,3.0,['T 0200pm-0430pm 09/01-12/07 BNW 340']
166,Rusu,Amalia I.,SW 0201,,,Software Engineering Methods,A,32131.0,Spring,2015.0,8.0,8.0,0.0,['T 0630pm-0900pm 01/20-04/30 BNW 254']
167,Guelakis,William F.,SW 0204,,,Software Project Management,A,75816.0,Fall,2015.0,5.0,8.0,3.0,['T 0630pm-0900pm 09/01-12/07 BNW 124']
168, Galasso,Thomas,SW 0205,,,Software Testing & Maintenance,A,32850.0,Spring,2015.0,5.0,10.0,5.0,['W 0630pm-0900pm 01/20-04/30 BNW 137']
169, Patton,Martha Jane,PO 0190D,,,Spec Topics: The Arab Uprising,A,33963.0,Spring,2015.0,10.0,15.0,5.0,['W 1100am-0130pm 01/20-04/30 DMH 231']
170,Phelan,Shelley A.,BI 0381B,,,Special Topics Seminar: Molecular Mechanisms of Disease,A,76800.0,Fall,2015.0,13.0,12.0,-1.0,['TF 1100am-1215pm 09/01-12/07 BNW 469']
171,Andersen,Catherine J.,BI 0381D,,,Special Topics Seminar: Nutritional Epigenetics,A,76801.0,Fall,2015.0,13.0,12.0,-1.0,['TF 1100am-1215pm 09/01-12/07 BNW 333']
172,Murchie,Alan C.,MU 0200B,,,Special Topics: Beethoven: His Life and Music,A,76872.0,Fall,2015.0,22.0,25.0,3.0,['TF 1100am-1215pm 09/01-12/07 CNS 1']
173,Das,Bidyut B.,PS 0390A,,,Special Topics: Condensed Matter,A,32427.0,Spring,2015.0,4.0,10.0,6.0,['MR 1100am-1215pm 01/20-04/30 BNW 469']
174, Davis,Carol Ann,EN 0200C,,,"Special Topics: Dickinson, Whitman, and Contemporary Poets",A,33990.0,Spring,2015.0,30.0,30.0,0.0,['W 1100am-0130pm 01/20-04/30 CNS 305']
175,Schwab,Katherine A.,AH 0290B,,,Special Topics: Hair in the Classical World,A,76865.0,Fall,2015.0,9.0,15.0,6.0,['MR 0200pm-0315pm 09/01-12/07 BLM LL105']
176, Nash,Laura,MU 0200C,,,Special Topics: Hip Hop and Its Antecedents,A,76873.0,Fall,2015.0,23.0,25.0,2.0,['MR 1100am-1215pm 09/01-12/07 CNS 10']
177,Lerner,David P.,FTM 0110A,,,Special Topics: Interactive Media and Digital Culture,A,76869.0,Fall,2015.0,24.0,25.0,1.0,['R 0200pm-0430pm 09/01-12/07 XVR 13']
178,Labinski,Maggie A.,PH 0299B,,,Special Topics: Love/Sex,A,33980.0,Spring,2015.0,19.0,20.0,1.0,['TF 1100am-1215pm 01/20-04/30 CNS 209']
179,Hartwell,Erica E.,FT 0568C,,,Special Topics: Therapy with LGBTQ Clients,01,55119.0,Summer,2015.0,20.0,20.0,0.0,"['T 0900am-0100pm 07/07-07/21 BNW 124', 'T 0900am-1200pm 07/28-07/28 BNW 124']"
180,Lerner,David P.,FTM 0107E,,,TV Genres: Comedy,A,33975.0,Spring,2015.0,26.0,23.0,-3.0,['T 0200pm-0500pm 01/20-04/30 XVR 5']
181,Fortmueller,Kate L.,FTM 0107A,,,TV Genres: Crime Dramas,A,76868.0,Fall,2015.0,21.0,25.0,4.0,['T 0200pm-0500pm 09/01-12/07 XVR 5']
182,Lopez,Edrik J.,ASEN 0487,,,The American Novel,01,33982.0,Spring,2015.0,9.0,15.0,6.0,['M 0545pm-0745pm 01/20-04/30 DMH 230']
183,White,Michael C.,ENW 0207B,,,Themes in Creative Writing: Reading and Writing Spiritual Works,A,76922.0,Fall,2015.0,9.0,15.0,6.0,['MR 0330pm-0445pm 09/01-12/07 CNS 203']
184,Huber,Sonya R.,ENW 0207A,,,Themes in Creative Writing: Writing Addiction & Recovery,A,34041.0,Spring,2015.0,14.0,15.0,1.0,['R 0630pm-0900pm 01/20-04/30 DMH 231']
185,Doris,Eugene P.,MG 0303B,,,Topics in Management: Leading Sport Organizations,A,33030.0,Spring,2015.0,22.0,25.0,3.0,['T 0630pm-0900pm 01/20-04/30 DSB 110B']
186, Byun,Soyong,BI 0318,,,Vertebrate Zoology,A,32267.0,Spring,2015.0,26.0,24.0,-2.0,['MR 1230pm-0145pm 01/20-04/30 BNW 137']
187, Byun,Soyong,BI 0318L,,,Vertebrate Zoology Lab,A,33325.0,Spring,2015.0,16.0,14.0,-2.0,['T 0830am-1130am 01/20-04/30 BNW 238A']
188,Guelakis,William F.,SW 0506,,,Visual C# for Programmers II,01,33816.0,Spring,2015.0,7.0,20.0,13.0,['R 0200pm-0430pm 01/20-05/08 BNW 129B']
189, Brooks,Patrick,FTM 0132,,,Web Design,A,76870.0,Fall,2015.0,12.0,13.0,1.0,['W 1100am-0130pm 09/01-12/07 XVR 15']
190, DeFelice,MaryAnn,SE 0436,,,Administration of Educational Tests,01,72541.0,Fall,2014.0,15.0,20.0,5.0,['R 0715pm-0915pm 09/04-12/18 CNS 202']
191, LaMastra,Philip,SW 0232,,,Advanced Programming and Data Structures,A,72145.0,Fall,2014.0,10.0,15.0,5.0,"['M 0630pm-0900pm 09/02-12/15 BNW 129B', 'T 0630pm-0900pm 12/16-12/16 BNW 129B']"
192, Davis,Wesley,FTM 0105A,,,American Film: Decades - 1950s,A,72989.0,Fall,2014.0,23.0,21.0,-2.0,['T 0500pm-0830pm 09/02-12/08 XVR 13']
193,Orazietti,John J.,NSAN 0681,,,Clinical Correlation Conference II,D02,73322.0,Fall,2014.0,12.0,12.0,0.0,"['R 0330pm-0430pm 09/04-12/18 SON 214', 'R 0431pm-0530pm 09/04-12/18 SON 209']"
194,Bogel,Gayle A.,MD 0099,,,Comp Exam-Educational Techno,01,70736.0,Fall,2014.0,0.0,18.0,18.0,['S 0830am-1230pm 11/08-11/08 DMH 148']
195,Bogel,Gayle A.,MD 0099,,,Comp Exam/Schl Library Media,02,70837.0,Fall,2014.0,2.0,18.0,16.0,['S 0830am-1230pm 11/08-11/08 DMH 148']
196,Mascarenhas,Brendan S.,ME 0425,,,Engineering Applications of Numerical Methods,01,72421.0,Fall,2014.0,12.0,35.0,23.0,['T 0630pm-0900pm 09/02-12/09 SON 203']
197, Jancosek Torff,Sarah,EG 0410,,,English Skills for Engineering Graduate Students,01,73224.0,Fall,2014.0,18.0,0.0,-18.0,['M 0330pm-0500pm 09/08-12/15 BNW 127']
198,Lerner,David P.,FTM 0106B,,,Film Genres: The Horror Film,A,73081.0,Fall,2014.0,24.0,23.0,-1.0,['W 0200pm-0500pm 09/02-12/08 XVR 13']
199, Kiem,Kamala,FE 0001,,,First Year Exp - Leadership,KK,70178.0,Fall,2014.0,24.0,27.0,3.0,['W 0100pm-0150pm 09/02-12/08 DMH 349']
200, Kiem,Kamala,FE 0001,,,First Year Exp -Magis Scholars,CC,70170.0,Fall,2014.0,21.0,26.0,5.0,['W 1000am-1050am 09/02-12/08 CNS 103']
201, Kiem,Kamala,FE 0001,,,First Year Exp-Magis Scholars,M,70154.0,Fall,2014.0,26.0,27.0,1.0,['T 1000am-1050am 09/02-12/08 FBR ']
202, Kiem,Kamala,FE 0001,,,First Year Experience - Career,Q,70158.0,Fall,2014.0,23.0,27.0,4.0,['T 0200pm-0250pm 09/02-12/08 BNW 334']
203, Kiem,Kamala,FE 0001,,,First Year Experience - Men,K,70152.0,Fall,2014.0,23.0,27.0,4.0,['M 0200pm-0250pm 09/02-12/08 BNW 254A']
204, Kiem,Kamala,FE 0001,,,First Year Experience - Music,HH,70175.0,Fall,2014.0,25.0,27.0,2.0,['W 0100pm-0150pm 09/02-12/08 JGS 25']
205, Kiem,Kamala,FE 0001,,,First Year Experience - Open,A,70142.0,Fall,2014.0,22.0,27.0,5.0,['M 1100am-1150am 09/02-12/08 FBR ']
206, Kiem,Kamala,FE 0001,,,First Year Experience - Sports,GG,70174.0,Fall,2014.0,22.0,27.0,5.0,['W 1100am-1150am 09/02-12/08 DMH 349']
207, Kiem,Kamala,FE 0001,,,First Year Experience - Women,L,70153.0,Fall,2014.0,23.0,27.0,4.0,['M 0200pm-0250pm 09/02-12/08 DSB 109']
208, Kiem,Kamala,FE 0001,,,First Year Experience -Career,MM,70180.0,Fall,2014.0,22.0,27.0,5.0,['W 0200pm-0250pm 09/02-12/08 BNW 131']
209, Kiem,Kamala,FE 0001,,,First Year Experience-Career,AA,70168.0,Fall,2014.0,25.0,27.0,2.0,['W 1000am-1050am 09/02-12/08 EGN ']
210, Kiem,Kamala,FE 0001,,,First Year Experience-JUHAN,D,70145.0,Fall,2014.0,19.0,27.0,8.0,['M 1100am-1150am 09/02-12/08 CNS 200']
211, Kiem,Kamala,FE 0001,,,First Yr Exp - Magis Scholars,JJ,70177.0,Fall,2014.0,28.0,26.0,-2.0,['W 0100pm-0150pm 09/02-12/08 CNS 1']
212, Kiem,Kamala,FE 0001,,,First Yr Exp - Social Justrice,U,70162.0,Fall,2014.0,25.0,27.0,2.0,['W 1000am-1050am 09/02-12/08 BNW 139']
213, Kiem,Kamala,FE 0001,,,First Yr Exp- Service Learning,J,70151.0,Fall,2014.0,12.0,27.0,15.0,['R 0330pm-0530pm 09/02-12/08 CNS 200']
214, Kiem,Kamala,FE 0001,,,First Yr Exp-Creative Learning,II,70176.0,Fall,2014.0,24.0,27.0,3.0,['W 0100pm-0150pm 09/02-12/08 CNS 106']
215, Kiem,Kamala,FE 0001,,,First Yr Exp-Health & Wellness,RR,70185.0,Fall,2014.0,23.0,27.0,4.0,['R 0100pm-0150pm 09/02-12/08 DSB 112']
216, Kiem,Kamala,FE 0001,,,First Yr Exp-Service Learning,H,70149.0,Fall,2014.0,9.0,27.0,18.0,['W 0930am-1130am 09/02-12/08 CNS 200']
217, Kiem,Kamala,FE 0001,,,First Yr Exp-Spiritual Explrt,W,70164.0,Fall,2014.0,24.0,27.0,3.0,['W 1000am-1050am 09/02-12/08 EGN MCGRATH']
218, Kiem,Kamala,FE 0001,,,First Yr Experience-Leadership,B,70143.0,Fall,2014.0,19.0,27.0,8.0,['M 1100am-1150am 09/02-12/08 XVR 5']
219, Mendelsohn,John,SA 0010,,,Foundation: Interpreting the Self,A,70261.0,Fall,2014.0,15.0,18.0,3.0,['T 0200pm-0430pm 09/02-12/08 LYL 22']
220, Biselli,Angela,PS 0015,,,Gen Physics I (PS/CH/ENGR),B,70050.0,Fall,2014.0,26.0,26.0,0.0,"['TF 1100am-1210pm 09/02-12/08 BNW GR22', 'W 1000am-1050am 09/02-12/08 BNW GR22']"
221,Stott,Jonathan J.,PS 0015,,,GenPhysics I(PS/CH/ENGR),C,70336.0,Fall,2014.0,27.0,26.0,-1.0,"['MR 0930am-1040am 09/02-12/08 BNW 139', 'W 0900am-0950am 09/02-12/08 BNW 139']"
222, Dlugos,Daniel,PS 0015,,,General Physics I,A,70227.0,Fall,2014.0,21.0,21.0,0.0,['TR 0500pm-0615pm 09/02-12/08 BNW GR22']
223,Cavallo,James P.,PS 0015L,,,General Physics I Lab,A,71535.0,Fall,2014.0,19.0,19.0,0.0,['R 0616pm-0845pm 09/02-12/08 BNW 162']
224, Zeylikovich,Iosif,PS 0015L,,,Genl Physics I Lab(ps/engr/ch),G,71532.0,Fall,2014.0,20.0,24.0,4.0,['W 0600pm-0830pm 09/02-12/08 BNW 162']
225,LaBella,Maryann Hayes,FT 0562,,,Human Sexuality and Sexual Dysfunction,01,72499.0,Fall,2014.0,8.0,20.0,12.0,['M 0715pm-0915pm 09/08-12/15 CNS 303']
226,Rusu,Amalia I.,SW 0151,,,Intro to Comp Game Modeling,A,73131.0,Fall,2014.0,11.0,24.0,13.0,['T 0200pm-0430pm 09/02-12/08 BNW 166']
227,Weiss,Joan Wyzkoski,MA 0019,,,Introduction to Calculus,A,70790.0,Fall,2014.0,23.0,37.0,14.0,"['MR 1100am-1150am 09/02-12/08 BNW 253', 'W 1000am-1050am 09/02-12/08 BNW 253']"
228,Cooney,Colleen J.,MU 0113,,,Introduction to Piano and the Elements of Music,A,71451.0,Fall,2014.0,12.0,12.0,0.0,['MR 1230pm-0145pm 09/02-12/08 JGS LAB-A']
229,Sabella,Jeremy L.,RS 0265,,,Non-Traditional American Religious Groups,A,72979.0,Fall,2014.0,25.0,22.0,-3.0,['T 0630pm-0900pm 09/02-12/08 CNS 9']
230,Weiss,Joan Wyzkoski,CS 0377,,,Numerical Analysis,A,72936.0,Fall,2014.0,4.0,7.0,3.0,['MW 0500pm-0615pm 09/03-12/08 BNW GR22']
231, Fine,Benjamin,MA 0321,,,Ordinary Differentl Equations,A,70199.0,Fall,2014.0,14.0,25.0,11.0,['MR 0800am-0915am 09/02-12/08 BNW 256']
232,Yarrington,Kathryn J.,SA 0131,,,Photographic and Digital Techniques in Printmaking,A,71448.0,Fall,2014.0,12.0,17.0,5.0,['R 1100am-0130pm 09/02-12/08 LYL 20']
233,Tucker,Michael T.,FI 0585C,,,Seminar: Contemporary Topics in Finance: Trading,01,73136.0,Fall,2014.0,7.0,13.0,6.0,['M 0500pm-0800pm 09/08-12/15 DSB 114']
234,Rusu,Amalia I.,SW 0202,,,Software Design Methods,A,70575.0,Fall,2014.0,5.0,6.0,1.0,"['M 0630pm-0900pm 09/08-12/15 BNW GR22', 'T 0630pm-0900pm 12/16-12/16 BNW GR22']"
235,Rusu,Amalia I.,SW 0201,,,Software Engineering Methods,A,70322.0,Fall,2014.0,7.0,8.0,1.0,['F 0200pm-0430pm 09/05-12/05 BNW GR22']
236,Guelakis,William F.,SW 0204,,,Software Project Management,A,72144.0,Fall,2014.0,1.0,4.0,3.0,['T 0630pm-0900pm 09/02-12/09 BNW 163']
237, Govindaraja,Bama,SW 0382C,,,Special Topics: Android Applications,A,72146.0,Fall,2014.0,4.0,4.0,0.0,"['M 0630pm-0900pm 09/08-12/15 BNW 163', 'T 0630pm-0900pm 12/16-12/16 BNW 163']"
238,Dalen,Bridget Mary,FTM 0107D,,,TV Genres: Reality TV,A,72987.0,Fall,2014.0,23.0,23.0,0.0,['T 0500pm-0800pm 09/02-12/08 XVR 5']
239,Berwick,Tara M.,,,,,,,,,,,,
