,Catalog_ID,program_name,program_code,Credits,Prereqs,Coreqs,Fees,Description
203,FE 0001,,,,,,,
204,FE 0001,,,,,,,
205,FE 0001,,,,,,,
206,FE 0001,,,,,,,
207,FE 0001,,,,,,,
208,FE 0001,,,,,,,
209,FE 0001,,,,,,,
210,FE 0001,,,,,,,
211,FE 0001,,,,,,,
212,FE 0001,,,,,,,
213,FE 0001,,,,,,,
214,FE 0001,,,,,,,
215,FE 0001,,,,,,,
216,FE 0001,,,,,,,
217,FE 0001,,,,,,,
218,FE 0001,,,,,,,
219,SA 0010,,,,,,,
220,PS 0015,,,,,,,
221,PS 0015,,,,,,,
222,PS 0015,,,,,,,
223,PS 0015L,,,,,,,
224,PS 0015L,,,,,,,
225,FT 0562,,,,,,,
226,SW 0151,,,,,,,
227,MA 0019,,,,,,,
228,MU 0113,,,,,,,
229,RS 0265,,,,,,,
230,CS 0377,,,,,,,
231,MA 0321,,,,,,,
232,SA 0131,,,,,,,
233,FI 0585C,,,,,,,
234,SW 0202,,,,,,,
235,SW 0201,,,,,,,
236,SW 0204,,,,,,,
237,SW 0382C,,,,,,,
238,FTM 0107D,,,,,,,
239,,,,,,,,
