,Catalog_ID,program_name,program_code,Credits,Prereqs,Coreqs,Fees,Description
0,CO 0497T,,,,,,,
1,EN 0100C,,,,,,,
2,PJ 0101A,,,,,,,
3,EE 0352,,,,,,,
4,SW 0482C,,,,,,,
5,,,,,,,,
