,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
10997,Spring2017,31314,HR 0202,03,3.000,Honors Seminar: The Fall of the Roman Empire,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'DMH 231'}]",['MR 0330pm-0445pm 01/17-05/02 DMH 231'],Giovanni R.  Ruffini,0,16,-16
10998,Spring2017,31136,HR 0300,01,3.000,"Interdisciplinary Inquiry: International Migration through Literature, Film, and News Media","[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'CNS 15'}]",['MR 0200pm-0315pm 01/17-05/02 CNS 15'],Terry-Ann   Jones,0,29,-29
10999,Spring2017,32914,HA 0298,01,3.000,Humanitarian Action Internship,[],[],Julie   Mughal,0,1,-1
11000,Spring2017,32869,HA 0300,01,3.000,Humanitarian Action Capstone,[],[],Janie L.  Leatherman,15,4,11
11001,Spring2017,32870,HA 0300,02,3.000,Humanitarian Action Capstone,[],[],David W.  McFadden,15,0,15
11002,Spring2017,32480,HU 0301,01,3.000,Humanities Institute Seminar,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'BY ARR '}]",['TF 0330pm-0445pm 01/17-05/02 BY ARR '],Ronald M.  Davidson,0,5,-5
11003,Spring2017,31160,IS 0100,01,3.000,Introduction to Information Systems,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TF 0930am-1045am 01/17-05/02 DSB 108'],Yasin   Ozcelik,28,28,0
11004,Spring2017,31161,IS 0100,02,3.000,Introduction to Information Systems,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 111'}]",['TF 1230pm-0145pm 01/17-05/02 DSB 111'],Yasin   Ozcelik,28,29,-1
11005,Spring2017,31162,IS 0100,03,3.000,Introduction to Information Systems,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['MR 1230pm-0145pm 01/17-05/02 DSB 115'],Vishnu V.  Vinekar,28,28,0
11006,Spring2017,31163,IS 0100,04,3.000,Introduction to Information Systems,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['MR 0200pm-0315pm 01/17-05/02 DSB 115'],Vishnu V.  Vinekar,28,25,3
11007,Spring2017,31164,IS 0100,05,3.000,Introduction to Information Systems,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['T 0630pm-0900pm 01/17-05/02 DSB 115'],Jay   Krishnamoorthy,28,25,3
11008,Spring2017,31732,IS 0100,06,3.000,Introduction to Information Systems,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 109'}]",['W 0630pm-0900pm 01/17-05/02 DSB 109'],Jay   Krishnamoorthy,28,26,2
11009,Spring2017,31733,IS 0135,01,3.000,Fundamentals of Web Design,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['MR 0330pm-0445pm 01/17-05/02 DSB 115'],Vishnu V.  Vinekar,25,23,2
11010,Spring2017,31734,IS 0210,01,3.000,Fundamentals of Business Analytics,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'CNS 301'}]",['MR 0930am-1045am 01/17-05/02 CNS 301'],Patrick S.  Lee,25,23,2
11011,Spring2017,31735,IS 0240,01,3.000,Systems Analysis and Logical Design,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 109'}]",['MR 1230pm-0145pm 01/17-05/02 DSB 109'],Christopher L.  Huntley,25,25,0
11012,Spring2017,31736,IS 0260,01,3.000,Database Systems,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'DSB 106'}]",['TF 0330pm-0445pm 01/17-05/02 DSB 106'],Yasin   Ozcelik,25,25,0
11013,Spring2017,32646,IS 0320,01,3.000,Systems Design and Implementation,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DSB 2109A'}]",['W 0200pm-0430pm 01/17-05/02 DSB 2109A'],Christopher L.  Huntley,25,7,18
11014,Spring2017,33077,IS 0399,CH,3.000,Independent Study,[],[],Christopher L.  Huntley,0,2,-2
11015,Spring2017,33040,IS 0399,JT,3.000,Independent Study,[],[],Jie   Tao,0,1,-1
11016,Spring2017,32651,IS 0500,01,3.000,Information Systems and Database Management,"[{'days': 'R', 'times': '0630pm-0930pm', 'dates': '01/17-03/02', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/28-01/28', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '02/11-02/11', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '02/25-02/25', 'location': 'DSB 115'}]","['R 0630pm-0930pm 01/17-03/02 DSB 115', 'S 0830am-0430pm 01/28-01/28 DSB 115', 'S 0830am-0430pm 02/11-02/11 DSB 115', 'S 0830am-0430pm 02/25-02/25 DSB 115']",Jie   Tao,25,15,10
11017,Spring2017,32647,IS 0520,01,3.000,Project Management,"[{'days': 'T', 'times': '0630pm-0930pm', 'dates': '03/07-04/25', 'location': 'DSB 105'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'DSB 105'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '04/08-04/08', 'location': 'DSB 105'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '04/22-04/22', 'location': 'DSB 105'}]","['T 0630pm-0930pm 03/07-04/25 DSB 105', 'S 0830am-0430pm 03/25-03/25 DSB 105', 'S 0830am-0430pm 04/08-04/08 DSB 105', 'S 0830am-0430pm 04/22-04/22 DSB 105']",Thomas F.  McCabe,25,14,11
11018,Spring2017,32107,IS 0540,01,3.000,Data Mining and Business Intelligence,"[{'days': 'W', 'times': '0630pm-0930pm', 'dates': '01/17-05/12', 'location': 'DSB 114'}]",['W 0630pm-0930pm 01/17-05/12 DSB 114'],Jie   Tao,25,19,6
11019,Spring2017,32108,IS 0550,01,3.000,Business Analytics and Big Data Mgmt,"[{'days': 'R', 'times': '0630pm-0930pm', 'dates': '03/08-04/26', 'location': 'DSB 114'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '04/08-04/08', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '04/29-04/29', 'location': 'DSB 107'}]","['R 0630pm-0930pm 03/08-04/26 DSB 114', 'S 0830am-0430pm 03/25-03/25 DSB 107', 'S 0830am-0430pm 04/08-04/08 DSB 107', 'S 0830am-0430pm 04/29-04/29 DSB 107']",Jie   Tao,25,17,8
11020,Spring2017,32997,IS 0598,JT,3.000,Independent Study in Information Systems and Operations Management,[],[],Jie   Tao,0,3,-3
11021,Spring2017,32203,IN 0109,01C,3.000,Basic Computer-Aided Design (CAD),"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/26-05/11', 'location': 'BNW 129B'}]",['R 0630pm-0900pm 01/26-05/11 BNW 129B'],Haralampos Bobby  Moisiadis,7,7,0
11022,Spring2017,32205,IN 0111,01C,3.000,Textiles for Interiors,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/25-05/10', 'location': 'DLH 107'}]",['W 0630pm-0900pm 01/25-05/10 DLH 107'],Richard S.  Killeaney,13,13,0
11023,Spring2017,32206,IN 0111,01N,0.000,Textiles for Interiors,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/25-05/10', 'location': 'DLH 107'}]",['W 0630pm-0900pm 01/25-05/10 DLH 107'],Richard S.  Killeaney,2,2,0
11024,Spring2017,32699,IN 0117,01C,3.000,History of Architecture and Interior Design,"[{'days': 'R', 'times': '0930am-1200pm', 'dates': '01/26-05/11', 'location': 'DMH 131'}]",['R 0930am-1200pm 01/26-05/11 DMH 131'],Barbara M.  Laux,15,14,1
11025,Spring2017,32700,IN 0117,01N,0.000,History of Architecture and Interior Design,"[{'days': 'R', 'times': '0930am-1200pm', 'dates': '01/26-05/11', 'location': 'DMH 131'}]",['R 0930am-1200pm 01/26-05/11 DMH 131'],Barbara M.  Laux,5,2,3
11026,Spring2017,32209,IN 0119,01C,3.000,Drawing and Presentation,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/26-05/11', 'location': 'DMH 348'}]",['R 0630pm-0900pm 01/26-05/11 DMH 348'],Patrick A.  Kennedy,11,6,5
11027,Spring2017,32210,IN 0119,01N,0.000,Drawing and Presentation,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/26-05/11', 'location': 'DMH 348'}]",['R 0630pm-0900pm 01/26-05/11 DMH 348'],Patrick A.  Kennedy,4,1,3
11028,Spring2017,32746,IN 0119,02C,3.000,Drawing and Presentation,"[{'days': 'W', 'times': '0930am-1200pm', 'dates': '01/25-05/10', 'location': 'DLH 107'}]",['W 0930am-1200pm 01/25-05/10 DLH 107'],Patrick A.  Kennedy,11,5,6
11029,Spring2017,32747,IN 0119,02N,0.000,Drawing and Presentation,"[{'days': 'W', 'times': '0930am-1200pm', 'dates': '01/25-05/10', 'location': 'DLH 107'}]",['W 0930am-1200pm 01/25-05/10 DLH 107'],Patrick A.  Kennedy,4,1,3
11030,Spring2017,32213,IN 0211,01C,3.000,Interior Design II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/24-05/09', 'location': 'DLH 107'}]",['T 0630pm-0900pm 01/24-05/09 DLH 107'],Hollis A.  Sutherland,7,4,3
11031,Spring2017,32214,IN 0211,01N,0.000,Interior Design II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/24-05/09', 'location': 'DLH 107'}]",['T 0630pm-0900pm 01/24-05/09 DLH 107'],Hollis A.  Sutherland,3,1,2
11032,Spring2017,32215,IN 0211,02C,3.000,Interior Design II,"[{'days': 'F', 'times': '0930am-1200pm', 'dates': '01/27-05/12', 'location': 'DLH 107'}]",['F 0930am-1200pm 01/27-05/12 DLH 107'],Hollis A.  Sutherland,7,4,3
11033,Spring2017,32216,IN 0211,02N,0.000,Interior Design II,"[{'days': 'F', 'times': '0930am-1200pm', 'dates': '01/27-05/12', 'location': 'DLH 107'}]",['F 0930am-1200pm 01/27-05/12 DLH 107'],Hollis A.  Sutherland,3,2,1
11034,Spring2017,31277,IL 0050,01,3.000,"People, Places, and Global Issues","[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DMH 348'}]",['MR 1100am-1215pm 01/17-05/02 DMH 348'],Terry-Ann   Jones,30,26,4
11035,Spring2017,31347,IL 0051,01,3.000,International Relations: Theories and Challenges,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'CNS 202'}]",['TF 0200pm-0315pm 01/17-05/02 CNS 202'],Lucrecia   Garcia Iommi,20,19,1
11036,Spring2017,31278,IL 0052,01,3.000,Culture and Political Economy,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'BNW 334'}]",['TF 0930am-1045am 01/17-05/02 BNW 334'],David   Crawford,20,20,0
11037,Spring2017,32785,IL 0152,01,3.000,International Human Rights,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'CNS 9'}]",['TF 1230pm-0145pm 01/17-05/02 CNS 9'],Janie L.  Leatherman,15,13,2
11038,Spring2017,32456,IL 0298,01,0.000-3.000,Internship,[],[],Anita G.  Deeg-Carlin,0,2,-2
11039,Spring2017,31078,IL 0300,01,3.000,Senior Capstone Seminar,"[{'days': 'M', 'times': '0800am-1030am', 'dates': '01/17-05/02', 'location': 'DMH 331'}]",['M 0800am-1030am 01/17-05/02 DMH 331'],Dina   Franceschi,10,11,-1
11040,Spring2017,31093,IL 0300,02,3.000,Senior Capstone Seminar,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/17-05/02', 'location': 'CNS 2'}]",['W 1100am-0130pm 01/17-05/02 CNS 2'],Janie L.  Leatherman,10,13,-3
11041,Spring2017,32969,IRI 0111,01,3.000,Introduction to the Irish Language II,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '01/17-05/02', 'location': 'BNW 334'}]",['MW 0630pm-0745pm 01/17-05/02 BNW 334'],John E.  Feeney,15,4,11
