,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,BU,Business,1045,2016.0,Fall,Fall2016,2016_2017,BU 0211,Legal Environment of Business,,,,,,
1,BU,Business,1057,2017.0,Spring,Spring2017,2016_2017,BU 0220,Environmental Law and Policy,,,,,,
2,BU,Business,1044,2016.0,Fall,Fall2016,2016_2017,BU 0320,Employment Law and Discrimination in the Workplace,,,,,,
3,BL,Black Studies,5721,2017.0,Spring,Spring2017,2016_2017,BL 0101,Black Lives Matter,,,,,,
4,BEN,Bioengineering,8278,2017.0,Spring,Spring2017,2016_2017,BEN 0300,Biomedical Instrumentation,,,,,,
5,BEN,Bioengineering,7090,2017.0,Spring,Spring2017,2016_2017,BEN 0333,Biomedical Visualization,,,,,,
6,AR,Arabic,512,2016.0,Fall,Fall2016,2016_2017,AR 0110,Elementary Modern Standard Arabic I,,,,,,
7,AR,Arabic,519,2017.0,Spring,Spring2017,2016_2017,AR 0111,Elementary Modern Standard Arabic II,,,,,,
8,AR,Arabic,513,2016.0,Fall,Fall2016,2016_2017,AR 0210,Intermediate Modern Standard Arabic I,,,,,,
9,AR,Arabic,520,2017.0,Spring,Spring2017,2016_2017,AR 0211,Intermediate Modern Standard Arabic II,,,,,,
10,AY,Anthropology,6941,2016.0,Fall,Fall2016,2016_2017,AY 0010,Introduction to Four-Field Anthropology,,,,,,
11,AY,Anthropology,7826,2016.0,Fall,Fall2016,2016_2017,AY 0052,Culture and Political Economy,,,,,,
12,AY,Anthropology,7833,2016.0,Fall,Fall2016,2016_2017,AY 0110,Biological Anthropology,,,,,,
13,AY,Anthropology,380,2016.0,Fall,Fall2016,2016_2017,AY 0111,Cultural Anthropology,,,,,,
14,AY,Anthropology,406,2016.0,Fall,Fall2016,2016_2017,AY 0115,Biomedical Anthropology,,,,,,
15,AY,Anthropology,381,2016.0,Fall,Fall2016,2016_2017,AY 0152,Islamic Societies and Cultures,,,,,,
16,AY,Anthropology,6943,2016.0,Fall,Fall2016,2016_2017,AY 0168,Women and Men: The Anthropology of Gender,,,,,,
17,AY,Anthropology,388,2017.0,Spring,Spring2017,2016_2017,AY 0189,Theory and Practive in Anthropology,,,,,,
18,AY,Anthropology,382,2016.0,Fall,Fall2016,2016_2017,AY 0199,Philosophy and Economic Anthropology,,,,,,
19,AY,Anthropology,7830,2017.0,Spring,Spring2017,2016_2017,AY 0200,Anthropological Research Methods,,,,,,
20,AY,Anthropology,401,2017.0,Spring,Spring2017,2016_2017,AY 0390A,Special Topics: Introduction to Archaeology,,,,,,
21,AS,American Studies,2816,2016.0,Fall,Fall2016,2016_2017,AS 0200,Roots of American Culture,,,,,,
22,AS,American Studies,2731,2016.0,Fall,Fall2016,2016_2017,AS 0400,Critical Issues/Amer Studies,,,,,,
23,AS,American Studies,5878,2017.0,Spring,Spring2017,2016_2017,AS 0484,Battle Over Family Values in American Politics,,,,,,
24,JA,Japanese,3891,2016.0,Fall,Fall2016,2016_2017,JA 0110,Elementary Japanese I,,,,,,
25,JA,Japanese,3897,2017.0,Spring,Spring2017,2016_2017,JA 0111,Elementary Japanese II,,,,,,
26,JA,Japanese,3892,2016.0,Fall,Fall2016,2016_2017,JA 0210,Intermediate Japanese I,,,,,,
27,JA,Japanese,3898,2017.0,Spring,Spring2017,2016_2017,JA 0211,Intermediate Japanese II,,,,,,
28,AH,Art History,543,2016.0,Fall,Fall2016,2016_2017,AH 0010,Origins and Transformations in Western Art,,,,,,
29,AH,Art History,557,2017.0,Spring,Spring2017,2016_2017,AH 0011,Visual Culture Since 1400: Expression and Experimentation,,,,,,
30,AH,Art History,600,2016.0,Fall,Fall2016,2016_2017,AH 0013,"Art of Africa, the Caribbean, and the Americas",,,,,,
31,AH,Art History,606,2017.0,Spring,Spring2017,2016_2017,AH 0014,Art of Asia,,,,,,
32,AH,Art History,601,2016.0,Fall,Fall2016,2016_2017,AH 0102,Art of East Asia,,,,,,
33,AH,Art History,556,2017.0,Spring,Spring2017,2016_2017,AH 0109,Jewish Art: Moses to Modernity,,,,,,
34,AH,Art History,582,2017.0,Spring,Spring2017,2016_2017,AH 0121,Celtic and Early Irish Art,,,,,,
35,AH,Art History,8277,2017.0,Spring,Spring2017,2016_2017,AH 0152,Modern Art,,,,,,
36,AH,Art History,565,2017.0,Summer,Summer2017,2016_2017,AH 0164,American Art and Media Culture,,,,,,
37,AH,Art History,542,2016.0,Fall,Fall2016,2016_2017,AH 0191,"Art and Mythologies of Nazi Germany, Fascist Italy, Bolshevik Russia: Comparative Systems & Outcomes",,,,,,
38,AH,Art History,567,2017.0,Summer,Summer2017,2016_2017,AH 0193,"Inside Museums and Galleries: Taste, Place, Public Space",,,,,,
39,AH,Art History,574,2016.0,Fall,Fall2016,2016_2017,AH 0222,Byzantine Art,,,,,,
40,AH,Art History,8520,2017.0,Spring,Spring2017,2016_2017,AH 0330,Senior Capstone Seminar,,,,,,
41,AH,Art History,8521,2017.0,Spring,Spring2017,2016_2017,AH 0330A,Senior Capstone Seminar,,,,,,
42,AE,Applied Ethics,417,2016.0,Fall,Fall2016,2016_2017,AE 0262,Ethics and the Community,,,,,,
43,AE,Applied Ethics,418,2016.0,Fall,Fall2016,2016_2017,AE 0265,Ethics in Education,,,,,,
44,AE,Applied Ethics,428,2016.0,Fall,Fall2016,2016_2017,AE 0276,Ethical Dimensions of Global Business Practices,,,,,,
45,AE,Applied Ethics,435,2016.0,Fall,Fall2016,2016_2017,AE 0281,Ethics of Communications,,,,,,
46,AE,Applied Ethics,443,2016.0,Fall,Fall2016,2016_2017,AE 0284,Environmental Ethics,,,,,,
47,AE,Applied Ethics,452,2016.0,Fall,Fall2016,2016_2017,AE 0285,Ethics of Health Care,,,,,,
48,AE,Applied Ethics,475,2017.0,Spring,Spring2017,2016_2017,AE 0287,Engineering Ethics,,,,,,
49,AE,Applied Ethics,270,2017.0,Spring,Spring2017,2016_2017,AE 0291,Business Ethics,,,,,,
50,AE,Applied Ethics,6962,2017.0,Summer,Summer2017,2016_2017,AE 0293,Ethics of War and Peace,,,,,,
51,AE,Applied Ethics,479,2017.0,Spring,Spring2017,2016_2017,AE 0391,"Seminar in Business Law, Regulation, and Ethics",,,,,,
52,IRI,Irish Studies,1277,2016.0,Fall,Fall2016,2016_2017,IRI 0110,Introduction to the Irish Language I,,,,,,
