,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
53,AC,Accounting,99,2015.0,Spring,Spring2015,2014_2015,AC 0265,Accounting Information Systems,,,,,,
54,AC,Accounting,189,2014.0,Fall,Fall2014,2014_2015,AC 0310,Advanced Accounting,,,,,,
55,AC,Accounting,112,2014.0,Fall,Fall2014,2014_2015,AC 0320,Cost Management,,,,,,
56,AC,Accounting,37,2014.0,Fall,Fall2014,2014_2015,AC 0330,Auditing,,,,,,
57,AC,Accounting,208,2014.0,Fall,Fall2014,2014_2015,AC 0343,Federal Income Taxation I,,,,,,
58,AC,Accounting,8383,2015.0,Spring,Spring2015,2014_2015,AC 0344,Individual Taxation: Socioeconomic Applications,,,,,,
59,AC,Accounting,222,2015.0,Spring,Spring2015,2014_2015,AC 0345,Federal Income Taxation II,,,,,,
60,AC,Accounting,93,2014.0,Fall,Fall2014,2014_2015,AC 0380,Municipal and Not-for-Profit Accounting,,,,,,
61,AC,Accounting,240,2014.0,Fall,Fall2014,2014_2015,AC 0400,Introduction to Accounting,,,,,,
62,AC,Accounting,238,2014.0,Fall,Fall2014,2014_2015,AC 0500,Accounting Information for Decision-Making,,,,,,
63,AC,Accounting,179,2015.0,Summer,Summer2015,2014_2015,AC 0510,Issues in a Regulatory Reporting Environment,,,,,,
64,AC,Accounting,11,2015.0,Spring,Spring2015,2014_2015,AC 0520,International Accounting,,,,,,
65,AC,Accounting,155,2015.0,Summer,Summer2015,2014_2015,AC 0530,"Accounting for Governments, Hospitals, and Universities",,,,,,
66,AC,Accounting,121,2015.0,Spring,Spring2015,2014_2015,AC 0550,Accounting Information Systems and Technology,,,,,,
67,AC,Accounting,291,2015.0,Spring,Spring2015,2014_2015,AC 0555,Issues in Internal Audit,,,,,,
68,AC,Accounting,248,2015.0,Spring,Spring2015,2014_2015,AC 0560,Audit Issues in a Global Environment,,,,,,
69,AC,Accounting,260,2014.0,Fall,Fall2014,2014_2015,AC 0570,Issues in Accounting Ethics,,,,,,
70,AC,Accounting,8548,2015.0,Summer,Summer2015,2014_2015,AC 0580,Financial Statement Analysis,,,,,,
71,AC,Accounting,273,2014.0,Fall,Fall2014,2014_2015,AC 0590,Research on Contemporary Issues in Accounting,,,,,,
72,IT,Italian,3817,2014.0,Fall,Fall2014,2014_2015,IT 0110,Elementary Italian I,,,,,,
73,IT,Italian,3846,2015.0,Spring,Spring2015,2014_2015,IT 0111,Elementary Italian II,,,,,,
74,IT,Italian,3819,2014.0,Fall,Fall2014,2014_2015,IT 0210,Intermediate Italian I,,,,,,
75,IT,Italian,3829,2015.0,Spring,Spring2015,2014_2015,IT 0211,Intermediate Italian II,,,,,,
76,IT,Italian,3852,2014.0,Fall,Fall2014,2014_2015,IT 0253,Contemporary Italian Culture,,,,,,
77,IT,Italian,3831,2015.0,Spring,Spring2015,2014_2015,IT 0257,Theatre in Italy: Comedy from Machiavelli to Fo,,,,,,
78,IT,Italian,3862,2015.0,Spring,Spring2015,2014_2015,IT 0289,Dante,,,,,,
79,IL,International Studies,3755,2014.0,Fall,Fall2014,2014_2015,IL 0050,"People, Places, and Global Issues",,,,,,
80,IL,International Studies,3758,2014.0,Fall,Fall2014,2014_2015,IL 0051,International Relations: Theories and Challenges,,,,,,
81,IL,International Studies,374,2014.0,Fall,Fall2014,2014_2015,IL 0052,Culture and Political Economy,,,,,,
82,IL,International Studies,7130,2015.0,Spring,Spring2015,2014_2015,IL 0053,Introduction to Economics,,,,,,
83,IL,International Studies,239,2014.0,Fall,Fall2014,2014_2015,IL 0150,International Operations of Non-Profits,,,,,,
84,IL,International Studies,3756,2014.0,Fall,Fall2014,2014_2015,IL 0151,"Gender, War, and Peace",,,,,,
85,IL,International Studies,3774,2015.0,Summer,Summer2015,2014_2015,IL 0197,United Nations Security Council Crisis Simulation,,,,,,
86,IL,International Studies,3767,2015.0,Spring,Spring2015,2014_2015,IL 0300,Senior Capstone Seminar,,,,,,
87,WS,"Women, Gender, and Sexuality Studies",311,2015.0,Spring,Spring2015,2014_2015,WS 0301,"Women, Gender, and Sexuality Studies Capstone Seminar",,,,,,
88,BI,Biology,680,2014.0,Fall,Fall2014,2014_2015,BI 0015,General Biology I,,,,,,
89,BI,Biology,898,2015.0,Spring,Spring2015,2014_2015,BI 0016,General Biology II,,,,,,
90,BI,Biology,681,2014.0,Fall,Fall2014,2014_2015,BI 0018,Human Biology: Form & Function,,,,,,
