,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
10,2016.0,Fall,Fall2016,2016_2017,AC 0011,,,Introduction to Financial Accounting,,,,,,
19,2017.0,Spring,Spring2017,2016_2017,AC 0012,,,Introduction to Management Accounting,,,,,,
34,2017.0,Spring,Spring2017,2016_2017,AC 0203,,,Intermediate Accounting I,,,,,,
107,2017.0,Summer,Summer2017,2016_2017,AC 0204,,,Intermediate Accounting II,,,,,,
101,2017.0,Spring,Spring2017,2016_2017,AC 0265,,,Accounting Information Systems,,,,,,
243,2016.0,Fall,Fall2016,2016_2017,AC 0310,,,Advanced Accounting,,,,,,
195,2016.0,Fall,Fall2016,2016_2017,AC 0320,,,Cost Management,,,,,,
43,2016.0,Fall,Fall2016,2016_2017,AC 0330,,,Auditing,,,,,,
67,2016.0,Fall,Fall2016,2016_2017,AC 0343,,,Federal Income Taxation I,,,,,,
8387,2017.0,Spring,Spring2017,2016_2017,AC 0344,,,Individual Taxation: Socioeconomic Applications,,,,,,
232,2017.0,Spring,Spring2017,2016_2017,AC 0345,,,Federal Income Taxation II,,,,,,
30,2016.0,Fall,Fall2016,2016_2017,AC 0380,,,Municipal and Not-for-Profit Accounting,,,,,,
8,2016.0,Fall,Fall2016,2016_2017,AC 0400,,,Introduction to Accounting,,,,,,
6,2016.0,Fall,Fall2016,2016_2017,AC 0500,,,Accounting Information for Decision-Making,,,,,,
185,2017.0,Summer,Summer2017,2016_2017,AC 0510,,,Issues in a Regulatory Reporting Environment,,,,,,
165,2017.0,Summer,Summer2017,2016_2017,AC 0530,,,"Accounting for Governments, Hospitals, and Universities",,,,,,
127,2017.0,Spring,Spring2017,2016_2017,AC 0550,,,Accounting Information Systems and Technology,,,,,,
297,2017.0,Spring,Spring2017,2016_2017,AC 0555,,,Issues in Internal Audit,,,,,,
54,2017.0,Spring,Spring2017,2016_2017,AC 0560,,,Audit Issues in a Global Environment,,,,,,
286,2016.0,Fall,Fall2016,2016_2017,AC 0570,,,Issues in Accounting Ethics,,,,,,
255,2017.0,Summer,Summer2017,2016_2017,AC 0580,,,Financial Statement Analysis,,,,,,
8486,2017.0,Spring,Spring2017,2016_2017,AC 0585B,,,Special Topics Seminar: Forensic Accounting,,,,,,
7814,2016.0,Fall,Fall2016,2016_2017,AC 0590,,,Research on Contemporary Issues in Accounting,,,,,,
417,2016.0,Fall,Fall2016,2016_2017,AE 0262,,,Ethics and the Community,,,,,,
418,2016.0,Fall,Fall2016,2016_2017,AE 0265,,,Ethics in Education,,,,,,
428,2016.0,Fall,Fall2016,2016_2017,AE 0276,,,Ethical Dimensions of Global Business Practices,,,,,,
435,2016.0,Fall,Fall2016,2016_2017,AE 0281,,,Ethics of Communications,,,,,,
443,2016.0,Fall,Fall2016,2016_2017,AE 0284,,,Environmental Ethics,,,,,,
452,2016.0,Fall,Fall2016,2016_2017,AE 0285,,,Ethics of Health Care,,,,,,
475,2017.0,Spring,Spring2017,2016_2017,AE 0287,,,Engineering Ethics,,,,,,
270,2017.0,Spring,Spring2017,2016_2017,AE 0291,,,Business Ethics,,,,,,
6962,2017.0,Summer,Summer2017,2016_2017,AE 0293,,,Ethics of War and Peace,,,,,,
479,2017.0,Spring,Spring2017,2016_2017,AE 0391,,,"Seminar in Business Law, Regulation, and Ethics",,,,,,
543,2016.0,Fall,Fall2016,2016_2017,AH 0010,,,Origins and Transformations in Western Art,,,,,,
557,2017.0,Spring,Spring2017,2016_2017,AH 0011,,,Visual Culture Since 1400: Expression and Experimentation,,,,,,
600,2016.0,Fall,Fall2016,2016_2017,AH 0013,,,"Art of Africa, the Caribbean, and the Americas",,,,,,
606,2017.0,Spring,Spring2017,2016_2017,AH 0014,,,Art of Asia,,,,,,
601,2016.0,Fall,Fall2016,2016_2017,AH 0102,,,Art of East Asia,,,,,,
556,2017.0,Spring,Spring2017,2016_2017,AH 0109,,,Jewish Art: Moses to Modernity,,,,,,
582,2017.0,Spring,Spring2017,2016_2017,AH 0121,,,Celtic and Early Irish Art,,,,,,
8277,2017.0,Spring,Spring2017,2016_2017,AH 0152,,,Modern Art,,,,,,
565,2017.0,Summer,Summer2017,2016_2017,AH 0164,,,American Art and Media Culture,,,,,,
542,2016.0,Fall,Fall2016,2016_2017,AH 0191,,,"Art and Mythologies of Nazi Germany, Fascist Italy, Bolshevik Russia: Comparative Systems & Outcomes",,,,,,
567,2017.0,Summer,Summer2017,2016_2017,AH 0193,,,"Inside Museums and Galleries: Taste, Place, Public Space",,,,,,
574,2016.0,Fall,Fall2016,2016_2017,AH 0222,,,Byzantine Art,,,,,,
8520,2017.0,Spring,Spring2017,2016_2017,AH 0330,,,Senior Capstone Seminar,,,,,,
8521,2017.0,Spring,Spring2017,2016_2017,AH 0330A,,,Senior Capstone Seminar,,,,,,
512,2016.0,Fall,Fall2016,2016_2017,AR 0110,,,Elementary Modern Standard Arabic I,,,,,,
519,2017.0,Spring,Spring2017,2016_2017,AR 0111,,,Elementary Modern Standard Arabic II,,,,,,
513,2016.0,Fall,Fall2016,2016_2017,AR 0210,,,Intermediate Modern Standard Arabic I,,,,,,
520,2017.0,Spring,Spring2017,2016_2017,AR 0211,,,Intermediate Modern Standard Arabic II,,,,,,
2816,2016.0,Fall,Fall2016,2016_2017,AS 0200,,,Roots of American Culture,,,,,,
2731,2016.0,Fall,Fall2016,2016_2017,AS 0400,,,Critical Issues/Amer Studies,,,,,,
5878,2017.0,Spring,Spring2017,2016_2017,AS 0484,,,Battle Over Family Values in American Politics,,,,,,
566,2017.0,Summer,Summer2017,2016_2017,ASAH 0441,,,Fine Art vs. Anti-Art: 1917 to 1967,,,,,,
2753,2017.0,Spring,Spring2017,2016_2017,ASEN 0447,,,Poetry in America,,,,,,
3527,2017.0,Spring,Spring2017,2016_2017,ASHI 0415,,,Inventing Themselves: African-American Women in U.S. History,,,,,,
3393,2017.0,Summer,Summer2017,2016_2017,ASHI 0437,,,American Prophetic Tradition,,,,,,
4697,2016.0,Fall,Fall2016,2016_2017,ASMU 0402,,,History of Rock,,,,,,
3311,2016.0,Fall,Fall2016,2016_2017,ASSO 0469,,,Women: Work and Sport,,,,,,
6941,2016.0,Fall,Fall2016,2016_2017,AY 0010,,,Introduction to Four-Field Anthropology,,,,,,
7826,2016.0,Fall,Fall2016,2016_2017,AY 0052,,,Culture and Political Economy,,,,,,
7833,2016.0,Fall,Fall2016,2016_2017,AY 0110,,,Biological Anthropology,,,,,,
380,2016.0,Fall,Fall2016,2016_2017,AY 0111,,,Cultural Anthropology,,,,,,
406,2016.0,Fall,Fall2016,2016_2017,AY 0115,,,Biomedical Anthropology,,,,,,
381,2016.0,Fall,Fall2016,2016_2017,AY 0152,,,Islamic Societies and Cultures,,,,,,
6943,2016.0,Fall,Fall2016,2016_2017,AY 0168,,,Women and Men: The Anthropology of Gender,,,,,,
388,2017.0,Spring,Spring2017,2016_2017,AY 0189,,,Theory and Practive in Anthropology,,,,,,
382,2016.0,Fall,Fall2016,2016_2017,AY 0199,,,Philosophy and Economic Anthropology,,,,,,
7830,2017.0,Spring,Spring2017,2016_2017,AY 0200,,,Anthropological Research Methods,,,,,,
401,2017.0,Spring,Spring2017,2016_2017,AY 0390A,,,Special Topics: Introduction to Archaeology,,,,,,
1092,2016.0,Fall,Fall2016,2016_2017,BB 0115,,,SHRM Learning Systems: Members,,,,,,
1091,2016.0,Fall,Fall2016,2016_2017,BB 0121,,,SHRM - Essentials/HR Mgmt,,,,,,
7058,2016.0,Fall,Fall2016,2016_2017,BB 0130,,,Fundamentals and Principles of Personal Financial Planning,,,,,,
1124,2016.0,Fall,Fall2016,2016_2017,BB 0132,,,Insurance Planning and Risk Management,,,,,,
1130,2016.0,Fall,Fall2016,2016_2017,BB 0134,,,Investment Planning,,,,,,
1111,2016.0,Fall,Fall2016,2016_2017,BB 0136,,,Federal Income and Property Taxation,,,,,,
1115,2017.0,Spring,Spring2017,2016_2017,BB 0138,,,Retirement&EmployeeBenefitPlan,,,,,,
1109,2016.0,Fall,Fall2016,2016_2017,BB 0139,,,CFP Capstone Course,,,,,,
8393,2017.0,Spring,Spring2017,2016_2017,BB 0140,,,Estate Planning,,,,,,
8278,2017.0,Spring,Spring2017,2016_2017,BEN 0300,,,Biomedical Instrumentation,,,,,,
7090,2017.0,Spring,Spring2017,2016_2017,BEN 0333,,,Biomedical Visualization,,,,,,
895,2016.0,Fall,Fall2016,2016_2017,BI 0015,,,Fundamentals of Biology I,,,,,,
2160,2017.0,Spring,Spring2017,2016_2017,BI 0016,,,Fundamentals of Biology II,,,,,,
685,2016.0,Fall,Fall2016,2016_2017,BI 0018,,,Human Biology: Form and Function,,,,,,
709,2017.0,Spring,Spring2017,2016_2017,BI 0071,,,Identity and the Human Genome,,,,,,
720,2016.0,Fall,Fall2016,2016_2017,BI 0073,,,Contemporary Nutrition: Food for Thought,,,,,,
954,2017.0,Spring,Spring2017,2016_2017,BI 0074,,,Biology of Food,,,,,,
926,2016.0,Fall,Fall2016,2016_2017,BI 0076,,,Environmental Science,,,,,,
734,2016.0,Fall,Fall2016,2016_2017,BI 0078,,,Introduction to Marine Science,,,,,,
7004,2016.0,Fall,Fall2016,2016_2017,BI 0096,,,God and Modern Biology,,,,,,
755,2016.0,Fall,Fall2016,2016_2017,BI 0107,,,Human Anatomy & Physiology I,,,,,,
