,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
8485,2016.0,Spring,Spring2016,2015_2016,AC 0585B,,,Special Topics Seminar: Forensic Accounting,,,,,,
280,2015.0,Fall,Fall2015,2015_2016,AC 0590,,,Research on Contemporary Issues in Accounting,,,,,,
415,2015.0,Fall,Fall2015,2015_2016,AE 0262,,,Ethics and the Community,,,,,,
416,2015.0,Fall,Fall2015,2015_2016,AE 0265,,,Ethics in Education,,,,,,
426,2015.0,Fall,Fall2015,2015_2016,AE 0276,,,Ethical Dimensions of Global Business Practices,,,,,,
434,2015.0,Fall,Fall2015,2015_2016,AE 0281,,,Ethics of Communications,,,,,,
441,2015.0,Fall,Fall2015,2015_2016,AE 0284,,,Environmental Ethics,,,,,,
457,2016.0,Spring,Spring2016,2015_2016,AE 0285,,,Ethics of Health Care,,,,,,
471,2016.0,Spring,Spring2016,2015_2016,AE 0287,,,Engineering Ethics,,,,,,
267,2016.0,Spring,Spring2016,2015_2016,AE 0291,,,Business Ethics,,,,,,
6961,2016.0,Summer,Summer2016,2015_2016,AE 0293,,,Ethics of War and Peace,,,,,,
474,2016.0,Spring,Spring2016,2015_2016,AE 0391,,,"Seminar in Business Law, Regulation, and Ethics",,,,,,
524,2015.0,Fall,Fall2015,2015_2016,AH 0010,,,Origins and Transformations in Western Art,,,,,,
553,2016.0,Spring,Spring2016,2015_2016,AH 0011,,,Visual Culture Since 1400: Expression and Experimentation,,,,,,
598,2015.0,Fall,Fall2015,2015_2016,AH 0013,,,"Art of Africa, the Caribbean, and the Americas",,,,,,
599,2015.0,Fall,Fall2015,2015_2016,AH 0014,,,Art of Asia,,,,,,
530,2016.0,Spring,Spring2016,2015_2016,AH 0111,,,Greek Art and Archaeology,,,,,,
571,2015.0,Fall,Fall2015,2015_2016,AH 0112,,,Etruscan and Roman Art and Archaeology,,,,,,
7840,2016.0,Spring,Spring2016,2015_2016,AH 0113,,,Art and Archaeology of Ancient Egypt: Images for Eternity,,,,,,
538,2015.0,Fall,Fall2015,2015_2016,AH 0130,,,Early Renaissance Art in Italy,,,,,,
563,2016.0,Summer,Summer2016,2015_2016,AH 0164,,,American Art and Media Culture: Homer to Hunger Games,,,,,,
592,2016.0,Spring,Spring2016,2015_2016,AH 0165,,,The Black Experience: African-American Art and Criticism in the 20th Century,,,,,,
589,2015.0,Fall,Fall2015,2015_2016,AH 0172,,,History of Photography,,,,,,
526,2015.0,Fall,Fall2015,2015_2016,AH 0290B,,,Special Topics: Hair in the Classical World,,,,,,
551,2016.0,Spring,Spring2016,2015_2016,AH 0330,,,Senior Capstone Seminar,,,,,,
552,2016.0,Spring,Spring2016,2015_2016,AH 0330A,,,Senior Capstone Seminar,,,,,,
509,2015.0,Fall,Fall2015,2015_2016,AR 0110,,,Elementary Modern Standard Arabic I,,,,,,
517,2016.0,Spring,Spring2016,2015_2016,AR 0111,,,Elementary Modern Standard Arabic II,,,,,,
510,2015.0,Fall,Fall2015,2015_2016,AR 0210,,,Intermediate Modern Standard Arabic I,,,,,,
518,2016.0,Spring,Spring2016,2015_2016,AR 0211,,,Intermediate Modern Standard Arabic II,,,,,,
508,2015.0,Fall,Fall2015,2015_2016,AR 0381,,,Coordinating Seminar,,,,,,
2814,2015.0,Fall,Fall2015,2015_2016,AS 0200,,,Roots of American Culture,,,,,,
2728,2015.0,Fall,Fall2015,2015_2016,AS 0400,,,Critical Issues/Amer Studies,,,,,,
314,2016.0,Spring,Spring2016,2015_2016,AS 0410,,,Introduction to Women's and Gender Studies,,,,,,
3531,2016.0,Summer,Summer2016,2015_2016,AS 0461,,,The American Civil War,,,,,,
6259,2016.0,Spring,Spring2016,2015_2016,AS 0479,,,Islam in America,,,,,,
321,2015.0,Fall,Fall2015,2015_2016,AS 0483,,,America in the 1930s,,,,,,
2813,2015.0,Fall,Fall2015,2015_2016,AS 0488,,,Frontier in American Culture,,,,,,
564,2016.0,Summer,Summer2016,2015_2016,ASAH 0441,,,Fine Art vs. Anti-Art: 1917-1967,,,,,,
365,2015.0,Fall,Fall2015,2015_2016,AY 0010,,,Introduction to Four-Field Anthropology,,,,,,
377,2015.0,Fall,Fall2015,2015_2016,AY 0052,,,Culture and Political Economy,,,,,,
391,2015.0,Fall,Fall2015,2015_2016,AY 0110,,,Biological Anthropology,,,,,,
376,2015.0,Fall,Fall2015,2015_2016,AY 0111,,,Cultural Anthropology,,,,,,
405,2015.0,Fall,Fall2015,2015_2016,AY 0115,,,Biomedical Anthropology,,,,,,
370,2016.0,Spring,Spring2016,2015_2016,AY 0145,,,Anthropology of Food,,,,,,
379,2015.0,Fall,Fall2015,2015_2016,AY 0152,,,Islamic Societies and Cultures,,,,,,
6940,2015.0,Fall,Fall2015,2015_2016,AY 0168,,,Women and Men: The Anthropology of Gender,,,,,,
386,2016.0,Spring,Spring2016,2015_2016,AY 0180,,,Grant Writing for the Social Sciences,,,,,,
369,2016.0,Spring,Spring2016,2015_2016,AY 0200,,,Anthropological Research Methods,,,,,,
1089,2015.0,Fall,Fall2015,2015_2016,BB 0115,,,SHRM Learning Systems,,,,,,
1088,2015.0,Fall,Fall2015,2015_2016,BB 0121,,,SHRM Essentials of Human Resource Management,,,,,,
7057,2015.0,Fall,Fall2015,2015_2016,BB 0130,,,Fundamentals and Principles of Personal Financial Planning,,,,,,
1123,2015.0,Fall,Fall2015,2015_2016,BB 0132,,,Insurance Planning and Risk Management,,,,,,
1129,2015.0,Fall,Fall2015,2015_2016,BB 0134,,,Investment Planning,,,,,,
1108,2015.0,Fall,Fall2015,2015_2016,BB 0136,,,Federal Income and Property Taxation,,,,,,
1113,2016.0,Spring,Spring2016,2015_2016,BB 0138,,,Retirement Planning and Employer-Sponsored Benefits,,,,,,
1106,2015.0,Fall,Fall2015,2015_2016,BB 0139,,,CFP Capstone Course,,,,,,
