,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
1104,2014.0,Fall,Fall2014,2014_2015,BB 0136,,,Federal Income and Property Taxation,,,,,,
1112,2015.0,Spring,Spring2015,2014_2015,BB 0138,,,Retirement Planning and Employer-Sponsored Benefits,,,,,,
1102,2014.0,Fall,Fall2014,2014_2015,BB 0139,,,CFP Capstone Course,,,,,,
8390,2015.0,Spring,Spring2015,2014_2015,BB 0140,,,Estate Planning,,,,,,
680,2014.0,Fall,Fall2014,2014_2015,BI 0015,,,General Biology I,,,,,,
898,2015.0,Spring,Spring2015,2014_2015,BI 0016,,,General Biology II,,,,,,
681,2014.0,Fall,Fall2014,2014_2015,BI 0018,,,Human Biology: Form & Function,,,,,,
694,2014.0,Fall,Fall2014,2014_2015,BI 0070,,,"Science, Technology, and Society",,,,,,
699,2014.0,Fall,Fall2014,2014_2015,BI 0071,,,Identity and the Human Genome,,,,,,
715,2014.0,Fall,Fall2014,2014_2015,BI 0073,,,Contemporary Nutrition: Food for Thought,,,,,,
951,2015.0,Spring,Spring2015,2014_2015,BI 0074,,,Biology of Food,,,,,,
930,2015.0,Spring,Spring2015,2014_2015,BI 0076,,,Environmental Science,,,,,,
730,2014.0,Fall,Fall2014,2014_2015,BI 0078,,,Introduction to Marine Science,,,,,,
1018,2015.0,Spring,Spring2015,2014_2015,BI 0095,,,Philosophy and Biology of Evolutionary Theory,,,,,,
7009,2015.0,Spring,Spring2015,2014_2015,BI 0096,,,God and Modern Biology,,,,,,
716,2014.0,Fall,Fall2014,2014_2015,BI 0107,,,Human Anatomy & Physiology I,,,,,,
747,2014.0,Fall,Fall2014,2014_2015,BI 0107L,,,Human Anatomy & Physiology Lab,,,,,,
725,2015.0,Spring,Spring2015,2014_2015,BI 0108,,,Human Anatomy & Physiology II,,,,,,
761,2015.0,Spring,Spring2015,2014_2015,BI 0108L,,,Human Anatomy & Physiology Lab,,,,,,
813,2014.0,Fall,Fall2014,2014_2015,BI 0151,,,Elements of Microbiology,,,,,,
814,2014.0,Fall,Fall2014,2014_2015,BI 0151L,,,Elements of Microbiology Lab,,,,,,
830,2014.0,Fall,Fall2014,2014_2015,BI 0170,,,General Biology (Majors),,,,,,
852,2014.0,Fall,Fall2014,2014_2015,BI 0170L,,,General Biology I Lab,,,,,,
607,2014.0,Fall,Fall2014,2014_2015,BI 0170P,,,General Biology I PLG,,,,,,
742,2015.0,Summer,Summer2015,2014_2015,BI 0171,,,General Biology II,,,,,,
744,2015.0,Summer,Summer2015,2014_2015,BI 0171L,,,General Biology II Lab,,,,,,
644,2015.0,Spring,Spring2015,2014_2015,BI 0171P,,,General Biology II PLG,,,,,,
920,2014.0,Fall,Fall2014,2014_2015,BI 0172,,,General Biology III (Majors),,,,,,
921,2014.0,Fall,Fall2014,2014_2015,BI 0172L,,,General Biology III Lab,,,,,,
928,2015.0,Spring,Spring2015,2014_2015,BI 0260,,,Ecology,,,,,,
929,2015.0,Spring,Spring2015,2014_2015,BI 0260L,,,Ecology Lab,,,,,,
840,2015.0,Spring,Spring2015,2014_2015,BI 0261,,,Genetics,,,,,,
841,2015.0,Spring,Spring2015,2014_2015,BI 0261L,,,Genetics Lab,,,,,,
7026,2015.0,Spring,Spring2015,2014_2015,BI 0262,,,Human Physiology,,,,,,
7027,2015.0,Spring,Spring2015,2014_2015,BI 0262L,,,Human Physiology Lab,,,,,,
723,2015.0,Spring,Spring2015,2014_2015,BI 0310,,,Community Nutrition,,,,,,
724,2015.0,Spring,Spring2015,2014_2015,BI 0310L,,,Community Nutrition Lab,,,,,,
1019,2015.0,Spring,Spring2015,2014_2015,BI 0318,,,Vertebrate Zoology,,,,,,
1020,2015.0,Spring,Spring2015,2014_2015,BI 0318L,,,Vertebrate Zoology Lab,,,,,,
970,2014.0,Fall,Fall2014,2014_2015,BI 0324,,,Biochemistry I,,,,,,
982,2015.0,Spring,Spring2015,2014_2015,BI 0324L,,,Biochemistry Lab,,,,,,
7005,2015.0,Spring,Spring2015,2014_2015,BI 0325,,,Biochemistry II,,,,,,
7007,2015.0,Spring,Spring2015,2014_2015,BI 0325L,,,Biochemistry Lab,,,,,,
7020,2015.0,Spring,Spring2015,2014_2015,BI 0327,,,Cell Biology,,,,,,
7021,2015.0,Spring,Spring2015,2014_2015,BI 0327L,,,Cell Biology Lab,,,,,,
878,2014.0,Fall,Fall2014,2014_2015,BI 0330,,,Nutrient Metabolism,,,,,,
698,2014.0,Fall,Fall2014,2014_2015,BI 0352,,,Fundamentals of Microbiology,,,,,,
987,2014.0,Fall,Fall2014,2014_2015,BI 0352L,,,Fundamentals of Microbiology Lab,,,,,,
854,2014.0,Fall,Fall2014,2014_2015,BI 0354,,,Molecular Biology,,,,,,
867,2015.0,Spring,Spring2015,2014_2015,BI 0357,,,General Virology,,,,,,
992,2014.0,Fall,Fall2014,2014_2015,BI 0362,,,Marine Invertebrate Zoology,,,,,,
993,2014.0,Fall,Fall2014,2014_2015,BI 0362L,,,Marine Invertebrate Zoology Lab,,,,,,
1011,2014.0,Fall,Fall2014,2014_2015,BI 0365,,,Evolutionary Biology,,,,,,
1012,2014.0,Fall,Fall2014,2014_2015,BI 0365L,,,Evolutionary Biology Lab,,,,,,
959,2015.0,Spring,Spring2015,2014_2015,BI 0366,,,Ornithology,,,,,,
960,2015.0,Spring,Spring2015,2014_2015,BI 0366L,,,Ornithology Lab,,,,,,
918,2014.0,Fall,Fall2014,2014_2015,BI 0372,,,Environmental Toxicology,,,,,,
919,2014.0,Fall,Fall2014,2014_2015,BI 0372L,,,Environmental Toxicology Lab,,,,,,
704,2015.0,Spring,Spring2015,2014_2015,BI 0381C,,,Seminar: Bacterial Pathogenesis,,,,,,
1030,2014.0,Fall,Fall2014,2014_2015,BU 0211,,,Legal Environment of Business,,,,,,
1049,2015.0,Spring,Spring2015,2014_2015,BU 0220,,,Environmental Law & Policy,,,,,,
1053,2015.0,Spring,Spring2015,2014_2015,BU 0312,,,The Law of Business Organizations and Financial Transactions,,,,,,
1033,2014.0,Fall,Fall2014,2014_2015,BU 0320,,,Employment Law and Discrimination in the Workplace,,,,,,
1133,2014.0,Fall,Fall2014,2014_2015,CH 0010,,,Chemistry: Sights and Insights,,,,,,
931,2015.0,Spring,Spring2015,2014_2015,CH 0076,,,Environmental Science,,,,,,
1154,2014.0,Fall,Fall2014,2014_2015,CH 0083,,,Survey of Chemistry,,,,,,
1160,2014.0,Fall,Fall2014,2014_2015,CH 0084,,,General Chemistry for Health Science,,,,,,
1144,2015.0,Spring,Spring2015,2014_2015,CH 0084L,,,General Chemistry for Health Science Lab,,,,,,
1186,2014.0,Fall,Fall2014,2014_2015,CH 0085,,,"Chemistry, Energy, and the Environment",,,,,,
1202,2014.0,Fall,Fall2014,2014_2015,CH 0086,,,Chemistry and Art,,,,,,
1208,2014.0,Fall,Fall2014,2014_2015,CH 0111,,,Gen Chem I-FT Engr Students,,,,,,
1153,2014.0,Fall,Fall2014,2014_2015,CH 0111L,,,General Chemistry I Lab,,,,,,
1215,2015.0,Spring,Spring2015,2014_2015,CH 0112,,,General Chemistry II,,,,,,
1158,2015.0,Spring,Spring2015,2014_2015,CH 0112L,,,General Chemistry II Lab,,,,,,
973,2014.0,Fall,Fall2014,2014_2015,CH 0211,,,Organic Chemistry I,,,,,,
1135,2014.0,Fall,Fall2014,2014_2015,CH 0211L,,,Organic Chemistry I Lab,,,,,,
1145,2015.0,Spring,Spring2015,2014_2015,CH 0212,,,Organic Chemistry II,,,,,,
1146,2015.0,Spring,Spring2015,2014_2015,CH 0212L,,,Organic Chemistry II Lab,,,,,,
1231,2015.0,Spring,Spring2015,2014_2015,CH 0222,,,Chemical Analysis,,,,,,
1294,2015.0,Spring,Spring2015,2014_2015,CH 0222L,,,Chemical Analysis Lab,,,,,,
1301,2014.0,Fall,Fall2014,2014_2015,CH 0261,,,Physical Chemistry I,,,,,,
1302,2014.0,Fall,Fall2014,2014_2015,CH 0261L,,,Physical Chemistry I Lab,,,,,,
1249,2015.0,Spring,Spring2015,2014_2015,CH 0262,,,Physical Chemistry II,,,,,,
1250,2015.0,Spring,Spring2015,2014_2015,CH 0262L,,,Physical Chemistry II Lab,,,,,,
971,2014.0,Fall,Fall2014,2014_2015,CH 0324,,,Biochemistry I,,,,,,
983,2015.0,Spring,Spring2015,2014_2015,CH 0324L,,,Biochemistry Lab,,,,,,
7006,2015.0,Spring,Spring2015,2014_2015,CH 0325,,,Biochemistry II,,,,,,
7008,2015.0,Spring,Spring2015,2014_2015,CH 0325L,,,Biochemistry Lab,,,,,,
1337,2014.0,Fall,Fall2014,2014_2015,CH 0326,,,Chemical Instrumentation,,,,,,
1338,2014.0,Fall,Fall2014,2014_2015,CH 0326L,,,Instrumental-Analytical Chemistry Lab,,,,,,
1222,2014.0,Fall,Fall2014,2014_2015,CH 0341,,,Advanced Inorganic Chemistry,,,,,,
1223,2014.0,Fall,Fall2014,2014_2015,CH 0341L,,,Advanced Inorganic Chemistry Lab,,,,,,
1355,2014.0,Fall,Fall2014,2014_2015,CI 0110,,,Elementary Chinese I,,,,,,
1362,2015.0,Spring,Spring2015,2014_2015,CI 0111,,,Elementary Chinese II,,,,,,
1356,2014.0,Fall,Fall2014,2014_2015,CI 0210,,,Intermediate Chinese I,,,,,,
1363,2015.0,Spring,Spring2015,2014_2015,CI 0211,,,Intermediate Chinese II,,,,,,
1374,2014.0,Fall,Fall2014,2014_2015,CL 0107,,,Masterpeices of Roman Literature in English Translation,,,,,,
1389,2015.0,Spring,Spring2015,2014_2015,CL 0115,,,Greek Civilization,,,,,,
1404,2014.0,Fall,Fall2014,2014_2015,CL 0116,,,Roman Civilization,,,,,,
1406,2014.0,Fall,Fall2014,2014_2015,CL 0223,,,"The Roman World in Late Antiquity, 284-642 AD",,,,,,
1667,2014.0,Fall,Fall2014,2014_2015,CN 0099,,,Comprehensive Exam in Clinical Mental Health Counseling,,,,,,
8563,2015.0,Summer,Summer2015,2014_2015,CN 0410,,,Grief and Loss Counseling,,,,,,
1761,2015.0,Spring,Spring2015,2014_2015,CN 0432,,,"Clinical Mental Health Counseling: Management, Delivery, and Evaluation",,,,,,
1693,2014.0,Fall,Fall2014,2014_2015,CN 0433,,,Multicultural Issues in Counseling,,,,,,
1700,2014.0,Fall,Fall2014,2014_2015,CN 0447,,,Lifespan Human Development,,,,,,
1739,2014.0,Fall,Fall2014,2014_2015,CN 0455,,,Group Work: Theory & Practice,,,,,,
1695,2015.0,Spring,Spring2015,2014_2015,CN 0457,,,Career Development: Theory and Practice,,,,,,
1754,2014.0,Fall,Fall2014,2014_2015,CN 0465,,,Introduction to Substance Abuse and Addictions,,,,,,
8400,2015.0,Spring,Spring2015,2014_2015,CN 0467,,,Assessment in Counseling,,,,,,
1769,2014.0,Fall,Fall2014,2014_2015,CN 0468,,,Professional Issues in Counseling,,,,,,
1719,2015.0,Spring,Spring2015,2014_2015,CN 0500,,,Theories of Counseling and Psychotherapy,,,,,,
1776,2014.0,Fall,Fall2014,2014_2015,CN 0515,,,Trauma and Crisis Intervention,,,,,,
1796,2015.0,Summer,Summer2015,2014_2015,CN 0525,,,Spirituality and Wellness,,,,,,
1683,2015.0,Spring,Spring2015,2014_2015,CN 0531,,,"School Counseling: Procedures, Organization, and Evaluation",,,,,,
1670,2014.0,Fall,Fall2014,2014_2015,CN 0553,,,Counseling Relationships and Skills,,,,,,
8405,2015.0,Spring,Spring2015,2014_2015,CN 0555,,,Substance Abuse Counseling: Skills and Strategies,,,,,,
1669,2014.0,Fall,Fall2014,2014_2015,CN 0558,,,Counseling Practicum,,,,,,
1703,2014.0,Fall,Fall2014,2014_2015,CN 0565,,,Substance Abuse and the Family,,,,,,
1702,2014.0,Fall,Fall2014,2014_2015,CN 0566,,,Research Methodology,,,,,,
1749,2015.0,Spring,Spring2015,2014_2015,CN 0585,,,Introduction to Clinical Supervision,,,,,,
1682,2015.0,Spring,Spring2015,2014_2015,CN 0590C,,,Internship: Clinical Mental Health Counseling,,,,,,
1671,2014.0,Fall,Fall2014,2014_2015,CN 0590S,,,Internship: School Counseling,,,,,,
1422,2014.0,Fall,Fall2014,2014_2015,CO 0100,,,Human Communication Theories,,,,,,
1459,2014.0,Fall,Fall2014,2014_2015,CO 0101,,,Argument and Advocacy,,,,,,
1481,2014.0,Fall,Fall2014,2014_2015,CO 0130,,,Mass Media and Society,,,,,,
1498,2014.0,Fall,Fall2014,2014_2015,CO 0200,,,Interpersonal Communication Theories,,,,,,
1453,2015.0,Spring,Spring2015,2014_2015,CO 0201,,,Persuasion,,,,,,
1516,2014.0,Fall,Fall2014,2014_2015,CO 0220,,,Introduction to Organizational Communication,,,,,,
1489,2014.0,Fall,Fall2014,2014_2015,CO 0231,,,Media Institutions,,,,,,
1496,2015.0,Spring,Spring2015,2014_2015,CO 0233,,,"Information Technologies: Economics, Law, and Policy",,,,,,
1530,2014.0,Fall,Fall2014,2014_2015,CO 0237,,,"Sports, Media, and Culture",,,,,,
1537,2014.0,Fall,Fall2014,2014_2015,CO 0238,,,Communication and Popular Culture,,,,,,
1615,2015.0,Spring,Spring2015,2014_2015,CO 0241,,,Communication and Culture: East and West,,,,,,
1548,2014.0,Fall,Fall2014,2014_2015,CO 0242,,,"Alcohol, Addiction and Culture",,,,,,
1503,2015.0,Spring,Spring2015,2014_2015,CO 0246,,,Family Communication,,,,,,
1572,2014.0,Fall,Fall2014,2014_2015,CO 0248,,,Health Communication,,,,,,
1521,2015.0,Spring,Spring2015,2014_2015,CO 0309,,,Reserach Projects in Communication: The Capstone,,,,,,
1574,2014.0,Fall,Fall2014,2014_2015,CO 0322,,,Leadership Communication,,,,,,
1514,2014.0,Fall,Fall2014,2014_2015,CO 0323,,,Gender and Organizing,,,,,,
1575,2014.0,Fall,Fall2014,2014_2015,CO 0325,,,Organizational Communication and Advertising,,,,,,
1442,2014.0,Fall,Fall2014,2014_2015,CO 0332,,,Children as Media Consumers,,,,,,
1494,2015.0,Spring,Spring2015,2014_2015,CO 0335,,,"Globalization, Media, and Culture",,,,,,
1533,2015.0,Spring,Spring2015,2014_2015,CO 0336,,,Social Media,,,,,,
1535,2015.0,Spring,Spring2015,2014_2015,CO 0337,,,Visual Communication,,,,,,
1616,2015.0,Spring,Spring2015,2014_2015,CO 0340,,,Conflict Communication,,,,,,
1587,2015.0,Spring,Spring2015,2014_2015,CO 0341,,,End of Life Communication,,,,,,
1588,2015.0,Spring,Spring2015,2014_2015,CO 0343,,,Ethics and Marketing Communication,,,,,,
1604,2014.0,Fall,Fall2014,2014_2015,CO 0345,,,Relational Communication,,,,,,
1513,2014.0,Fall,Fall2014,2014_2015,CO 0400,,,"Communication Philosophies, Theories, and Research Traditions",,,,,,
1536,2014.0,Fall,Fall2014,2014_2015,CO 0420,,,Communication Research Design and Methodologies,,,,,,
1600,2015.0,Summer,Summer2015,2014_2015,CO 0430,,,Written Communication,,,,,,
1490,2014.0,Fall,Fall2014,2014_2015,CO 0431,,,Media Law and Institutions,,,,,,
1517,2014.0,Fall,Fall2014,2014_2015,CO 0497A,,,Topics: Gender and Organizing,,,,,,
1576,2014.0,Fall,Fall2014,2014_2015,CO 0497F,,,Special Topics: Organizational Communication and Advertising,,,,,,
1495,2015.0,Spring,Spring2015,2014_2015,CO 0497G,,,"Globalization, Media, and Culture",,,,,,
1534,2015.0,Spring,Spring2015,2014_2015,CO 0497L,,,Social Media,,,,,,
1573,2014.0,Fall,Fall2014,2014_2015,CO 0500,,,Interpersonal Communication,,,,,,
1590,2015.0,Spring,Spring2015,2014_2015,CO 0502,,,Small Group and Team Communication,,,,,,
1547,2015.0,Summer,Summer2015,2014_2015,CO 0532,,,Nonprofit Media,,,,,,
2304,2015.0,Spring,Spring2015,2014_2015,CR 0245,,,Digital Design I,,,,,,
1635,2015.0,Spring,Spring2015,2014_2015,CR 0245L,,,Digital Design I Lab,,,,,,
1624,2014.0,Fall,Fall2014,2014_2015,CR 0246,,,Digital Electronics Design II,,,,,,
8396,2015.0,Spring,Spring2015,2014_2015,CR 0320,,,Computer Networks,,,,,,
6492,2015.0,Spring,Spring2015,2014_2015,CS 0131,,,Fundamentals of Programming,,,,,,
1649,2014.0,Fall,Fall2014,2014_2015,CS 0232,,,Data Structures,,,,,,
7466,2015.0,Spring,Spring2015,2014_2015,CS 0342,,,Theory of Computation,,,,,,
1651,2014.0,Fall,Fall2014,2014_2015,CS 0377,,,Numerical Analysis,,,,,,
1808,2014.0,Fall,Fall2014,2014_2015,EC 0011,,,Introduction to Microeconomics,,,,,,
1816,2015.0,Spring,Spring2015,2014_2015,EC 0012,,,Introduction to Macroeconomics,,,,,,
1969,2014.0,Fall,Fall2014,2014_2015,EC 0112,,,Economic Aspects of Current Social Problems,,,,,,
7129,2015.0,Spring,Spring2015,2014_2015,EC 0120,,,Environmental Economics,,,,,,
1861,2014.0,Fall,Fall2014,2014_2015,EC 0140,,,Health Economics,,,,,,
1908,2015.0,Spring,Spring2015,2014_2015,EC 0150,,,Media Economics,,,,,,
1888,2015.0,Spring,Spring2015,2014_2015,EC 0152,,,Economics of Sports,,,,,,
1970,2014.0,Fall,Fall2014,2014_2015,EC 0204,,,Intermediate Microeconomic Theory,,,,,,
1972,2014.0,Fall,Fall2014,2014_2015,EC 0204L,,,Intermediate Microeconomic Theory Lab,,,,,,
1841,2015.0,Spring,Spring2015,2014_2015,EC 0205,,,Intermediate Macroeconomic Theory,,,,,,
1843,2015.0,Spring,Spring2015,2014_2015,EC 0205L,,,Intermediate Macroeconomic Theory Lab,,,,,,
1832,2014.0,Fall,Fall2014,2014_2015,EC 0210,,,Money and Banking,,,,,,
1986,2014.0,Fall,Fall2014,2014_2015,EC 0230,,,Comparative Economic Systems,,,,,,
1807,2014.0,Fall,Fall2014,2014_2015,EC 0231,,,International Trade,,,,,,
1815,2015.0,Spring,Spring2015,2014_2015,EC 0233,,,International Economic Policy and Finance,,,,,,
1900,2014.0,Fall,Fall2014,2014_2015,EC 0250,,,Industrial Organization and Competitive Strategy,,,,,,
1881,2014.0,Fall,Fall2014,2014_2015,EC 0252,,,Urban Economics,,,,,,
1980,2015.0,Spring,Spring2015,2014_2015,EC 0270,,,Engineering Economics,,,,,,
1917,2014.0,Fall,Fall2014,2014_2015,EC 0278,,,Statistics,,,,,,
1918,2014.0,Fall,Fall2014,2014_2015,EC 0278L,,,Statistics Lab,,,,,,
1840,2015.0,Spring,Spring2015,2014_2015,EC 0320,,,Financial Markets and Institutions,,,,,,
1872,2015.0,Spring,Spring2015,2014_2015,EC 0380,,,Econometrics,,,,,,
1833,2014.0,Fall,Fall2014,2014_2015,EC 0398,,,Senior Seminar,,,,,,
1623,2014.0,Fall,Fall2014,2014_2015,ECE 0406,,,Advanced Digital Design,,,,,,
2213,2014.0,Fall,Fall2014,2014_2015,ECE 0415,,,Engineering Applications of Numerical Methods,,,,,,
2305,2015.0,Spring,Spring2015,2014_2015,ECE 0420,,,Readings in Electrical & Computer Engineering,,,,,,
2326,2015.0,Spring,Spring2015,2014_2015,ECE 0435,,,Microelectronics,,,,,,
2247,2014.0,Fall,Fall2014,2014_2015,ECE 0448,,,Embedded Microcontrollers,,,,,,
2249,2014.0,Fall,Fall2014,2014_2015,ECE 0448L,,,Embedded Microcontrollers Lab,,,,,,
2332,2015.0,Summer,Summer2015,2014_2015,ECE 0455,,,Sensor Design and Application,,,,,,
8414,2015.0,Spring,Spring2015,2014_2015,ECE 0457,,,Advanced Linear Systems,,,,,,
8397,2015.0,Spring,Spring2015,2014_2015,ECE 0460,,,Network Programming,,,,,,
2295,2015.0,Summer,Summer2015,2014_2015,ECE 0477,,,Power Security and Reliability,,,,,,
2357,2015.0,Summer,Summer2015,2014_2015,ECE 0478,,,Electromagnetic Compatibility,,,,,,
2282,2015.0,Spring,Spring2015,2014_2015,ECE 0485,,,Digital Communications,,,,,,
2265,2014.0,Fall,Fall2014,2014_2015,ECE 0505,,,Advanced Power Electronics,,,,,,
