,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
2817,2018.0,Fall,Fall2018,2018_2019,AS 0471,,,Introduction to Native American Studies,,,,,,
8335,2018.0,Fall,Fall2018,2018_2019,BA 0500,,,Business Analytics,,,,,,
3638,2018.0,Fall,Fall2018,2018_2019,BA 0505,,,Python for Business Analytics,,,,,,
3645,2019.0,Spring,Spring2019,2018_2019,BA 0510,,,Databases for Business Analytics,,,,,,
8541,2019.0,Spring,Spring2019,2018_2019,BA 0540,,,Business Intelligence,,,,,,
7371,2019.0,Spring,Spring2019,2018_2019,BA 0545,,,Data Mining,,,,,,
7019,2018.0,Fall,Fall2018,2018_2019,BI 0088,,,Biomedical Science and Society,,,,,,
943,2019.0,Spring,Spring2019,2018_2019,BI 0399M,,,Senior Capstone Seminar: Conservation Biology,,,,,,
1565,2019.0,Spring,Spring2019,2018_2019,CO 0350,,,Family Crisis Communication,,,,,,
8280,2019.0,Spring,Spring2019,2018_2019,CO 0352,,,Global Mediated Activism,,,,,,
1586,2018.0,Fall,Fall2018,2018_2019,CO 0497R,,,Health Risk Communication,,,,,,
8281,2019.0,Spring,Spring2019,2018_2019,CO 0497T,,,Global Mediated Activism,,,,,,
8336,2018.0,Fall,Fall2018,2018_2019,CO 0559C,,,Special Topics: Work-Life Intersections,,,,,,
8337,2019.0,Spring,Spring2019,2018_2019,CO 0559D,,,Special Topics: Communication Training and Development,,,,,,
1645,2019.0,Spring,Spring2019,2018_2019,CS 0201,,,Technical Skills for Liberal Arts Majors,,,,,,
7093,2019.0,Spring,Spring2019,2018_2019,CS 0320,,,Visual Analytics,,,,,,
6541,2019.0,Spring,Spring2019,2018_2019,CS 0333,,,Introduction to Cybersecurity,,,,,,
6441,2018.0,Fall,Fall2018,2018_2019,CS 0350L,,,Computer Science Junior Clinic I,,,,,,
6452,2019.0,Spring,Spring2019,2018_2019,CS 0351L,,,Computer Science Junior Clinic II,,,,,,
8347,2018.0,Fall,Fall2018,2018_2019,EC 0275,,,Managerial Economics,,,,,,
7939,2019.0,Spring,Spring2019,2018_2019,ENW 0342,,,Sports Journalism,,,,,,
8067,2018.0,Fall,Fall2018,2018_2019,FE 0001,,,First Year Experience,,,,,,
8117,2018.0,Fall,Fall2018,2018_2019,FE 0002,,,Transfer Student Experience,,,,,,
307,2018.0,Fall,Fall2018,2018_2019,HI 0100,,,Origins of the Modern World Since 1500,,,,,,
6980,2019.0,Spring,Spring2019,2018_2019,HI 0102,,,"China, Japan, and Europe",,,,,,
3386,2019.0,Spring,Spring2019,2018_2019,HI 0103,,,"Europe, Russia, and the World, 1300-1918",,,,,,
3431,2019.0,Spring,Spring2019,2018_2019,HI 0104,,,"War and Conflict in Western History, 1490-1989",,,,,,
3449,2019.0,Spring,Spring2019,2018_2019,HI 0106,,,"Imperialism and Colonialism in World History, 1500-Present",,,,,,
3467,2019.0,Spring,Spring2019,2018_2019,HI 0112,,,Germany Between Dictatorship and Democracy,,,,,,
396,2018.0,Fall,Fall2018,2018_2019,HR 0104,,,Enduring Questions,,,,,,
585,2019.0,Spring,Spring2019,2018_2019,HR 0204,,,Emerging Questions,,,,,,
839,2018.0,Fall,Fall2018,2018_2019,HR 0304,,,Finding Answers: Genetics and Ethics,,,,,,
3626,2019.0,Spring,Spring2019,2018_2019,IS 0235,,,Python Apps for Busn Analytics,,,,,,
1795,2019.0,Spring,Spring2019,2018_2019,NS 0385A,,,Special Topics: Spirituality in Nursing,,,,,,
8372,2018.0,Fall,Fall2018,2018_2019,PB 0101,,,Global Public Health and Social Justice,,,,,,
8333,2018.0,Fall,Fall2018,2018_2019,PB 0201,,,"Public Health, Disease, and Injury",,,,,,
8373,2019.0,Spring,Spring2019,2018_2019,PB 0203,,,Public Health Program Planning and Evaluation,,,,,,
5550,2019.0,Spring,Spring2019,2018_2019,PH 0224,,,Critical Thinking,,,,,,
5543,2018.0,Fall,Fall2018,2018_2019,PH 0340,,,Critical Theory,,,,,,
5881,2019.0,Spring,Spring2019,2018_2019,PO 0101,,,Introduction to American Politics,,,,,,
5896,2018.0,Fall,Fall2018,2018_2019,PO 0102,,,Introduction to Comparative Politics,,,,,,
5921,2018.0,Fall,Fall2018,2018_2019,PO 0103,,,Introduction to Political Ideas That Shape the World,,,,,,
3787,2018.0,Fall,Fall2018,2018_2019,PO 0104,,,Introduction to International Relations,,,,,,
5898,2018.0,Fall,Fall2018,2018_2019,PO 0190E,,,Special Topics: Turkey: A Nation of Contradictions in Turmoil,,,,,,
5920,2018.0,Fall,Fall2018,2018_2019,PO 0201,,,Introduction to Peace and Justice,,,,,,
8228,2019.0,Spring,Spring2019,2018_2019,PO 0203,,,Public Administration,,,,,,
8363,2018.0,Fall,Fall2018,2018_2019,PO 0204,,,American Presidency,,,,,,
8369,2019.0,Spring,Spring2019,2018_2019,PO 0205,,,United States Congress,,,,,,
8366,2018.0,Fall,Fall2018,2018_2019,PO 0211,,,Media and Politics,,,,,,
8229,2019.0,Spring,Spring2019,2018_2019,PO 0213,,,State and Local Politics,,,,,,
8370,2019.0,Spring,Spring2019,2018_2019,PO 0232,,,Utopian Politics,,,,,,
5929,2019.0,Spring,Spring2019,2018_2019,PO 0233,,,American Political Thought,,,,,,
8371,2018.0,Fall,Fall2018,2018_2019,PO 0234,,,"Sex, Sexuality, and Gender",,,,,,
8368,2019.0,Spring,Spring2019,2018_2019,PO 0236,,,"Politics of Race, Class, and Gender",,,,,,
3788,2018.0,Fall,Fall2018,2018_2019,PO 0253,,,Latin American Politics,,,,,,
5909,2019.0,Spring,Spring2019,2018_2019,PO 0255,,,Middle Eastern Politics,,,,,,
5931,2019.0,Spring,Spring2019,2018_2019,PO 0257,,,Northern Ireland: Politics of War and Peace,,,,,,
5910,2019.0,Spring,Spring2019,2018_2019,PO 0259,,,The Development Gap,,,,,,
3773,2019.0,Spring,Spring2019,2018_2019,PO 0272,,,Politics of Humanitarian Action,,,,,,
2903,2019.0,Spring,Spring2019,2018_2019,PO 0274,,,International Environmental Policies,,,,,,
3789,2018.0,Fall,Fall2018,2018_2019,PO 0276,,,United States Foreign Policy,,,,,,
5882,2019.0,Spring,Spring2019,2018_2019,PO 0301,,,The Battle Over Family Values in American Politics,,,,,,
6123,2019.0,Spring,Spring2019,2018_2019,PY 0281F,,,Special Topics: Community Behavioral and Mental Health,,,,,,
6108,2019.0,Spring,Spring2019,2018_2019,PY 0281G,,,Special Topics: Aging and Cognition,,,,,,
8322,2019.0,Spring,Spring2019,2018_2019,PY 0281H,,,Special Topics: Psychology of Diversity,,,,,,
6353,2018.0,Fall,Fall2018,2018_2019,RS 0268,,,American Catholic History,,,,,,
8375,2019.0,Spring,Spring2019,2018_2019,RS 0299D,,,"Special Topics: Martin Luther King, Jr.",,,,,,
6862,2019.0,Spring,Spring2019,2018_2019,SA 0140,,,Darkroom Photography,,,,,,
6524,2018.0,Fall,Fall2018,2018_2019,SW 0412,,,Agile Software Engineering,,,,,,
7094,2019.0,Spring,Spring2019,2018_2019,SW 0422,,,Visual Analytics,,,,,,
6542,2019.0,Spring,Spring2019,2018_2019,SW 0482G,,,Special Topics: Cybersecurity,,,,,,
